 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,,,2014-11-15,West Oakland,,,,,,,,,0,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,75,,2014-11-15,Set Up & Break Down,1,,,,,3,,,225,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,250,,2014-11-15,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,30,,2014-11-15,Site Manager/Staffing,1,,,,,6.5,,,195,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,,,2014-11-15,A/V Technician,,,,,,,,,,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,,,2014-11-15,Coffee Service ($10/thermos),,,,,,,,,,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,85,,2014-11-15,Waste Removal,1,,,,,Flat Fee,,,85,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,,,2014-11-15,,,,,,,,,,,0,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,,,2014-11-15,Total,,,,,,,,,1490,301.45,Full Time Member Weekend Rate - Partnership Discount,2183 LNA_Fertile
,180,,2015-02-23,On Broadway,0.2,,,,,,2.5,,450,360,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Atrium,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Jingletown Lounge,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,OMI Gallery,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Meridian Room,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Uptown,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Downtown,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,East Oakland,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,West Oakland,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,75,,2015-02-23,Set up & Reset,,,,,,,2,,150,150,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,40,,2015-02-23,IHO Staffing,,,,,,,3.5,,140,140,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,300,,2015-02-23,Janitorial Fee/Waste Removal,,,,,,,Flat Fee,,300,300,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,A/V Technician,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Coffee Service ,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Security,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,,,,,,,,,,,0,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
,,,2015-02-23,Total,,,,,,,,,1040,950,Full Time Member Weekday Rate - Partner Discount,215006 BGC Comm Meeting
0.0,,,2014-11-19,On Broadway,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,Atrium,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
0.0,,,2014-11-19,Jingletown Lounge,,,,,,,,,,,Part Time Member Weekday Rate,2174 CARE Strategies
