 TOTAL,AMOUNT,DATE,DATE OF EVENT,DESCRIPTION,DISCOUNT,DONATION,ESTIMATE TOTAL,ESTIMATED HOURS,ESTIMATED TOTAL,HOURS,HOURS/UNITS,OCCURANCE,SUBTOTAL,TOTAL,rate,sheet
,100,,2014-12-10,Sm. Party Janitorial Fee,,,,,,Flat Fee,,,100,100,Full Time Member Weekday Rate,2189 BGC_volunteertraining_2
,,,2014-12-10,Waste Removal Fee,,,,,,,,,,0,Full Time Member Weekday Rate,2189 BGC_volunteertraining_2
,,,2014-12-10,A/V Technician,,,,,,,,,,0,Full Time Member Weekday Rate,2189 BGC_volunteertraining_2
,,,2014-12-10,Coffee Service ($10/thermos),,,,,,,,,,0,Full Time Member Weekday Rate,2189 BGC_volunteertraining_2
,,,2014-12-10,,,,,,,,,,,0,Full Time Member Weekday Rate,2189 BGC_volunteertraining_2
,,,2014-12-10,Total,,,,,,,,,290,290,Full Time Member Weekday Rate,2189 BGC_volunteertraining_2
,250,2014-08-08,,Standard Janitorial Fee,,,,,,Flat Fee,,,,250,,2083 Nat Poetry Slam_cleaning
,,2014-08-08,,Total,,,,,,,,,,250,,2083 Nat Poetry Slam_cleaning
,85,2014-04-25,,Gallery,,,,,,5,,,,425,Org Connect Member rate,2035 Sungevity Event
,130,2014-04-25,,Atrium,,,,,,5,,,,650,Org Connect Member rate,2035 Sungevity Event
,205,2014-04-25,,On Broadway,,,,,,5,,,,1025,Org Connect Member rate,2035 Sungevity Event
,185,2014-04-25,,Entire Mezzanine,,,,,,5,,,,925,Org Connect Member rate,2035 Sungevity Event
,40,2014-04-25,,A/V Technician,,,,,,6,,,,240,Org Connect Member rate,2035 Sungevity Event
,50,2014-04-25,,Set-up/Break-down ,,,,,,5,,,,250,Org Connect Member rate,2035 Sungevity Event
,500,2014-04-25,,Large Party Cleaning Fee,,,,,,,,,,500,Org Connect Member rate,2035 Sungevity Event
,,2014-04-25,,Total,,,,,,,,,,4015,Org Connect Member rate,2035 Sungevity Event
,295,,2015-10-15,On Broadway,,,,,,,2,,590,590,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Atrium,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Jingletown Lounge,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,OMI Gallery,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Meridian Room,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Uptown,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Downtown,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,East Oakland,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,West Oakland,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,75,,2015-10-15,Set Up & Reset,0.25,,,,,,2.5,,187.5,140.625,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,40,,2015-10-15,IHO Staffing,,,,,,,4.5,,180,180,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,450,,2015-10-15,Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,450,450,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Additional Services As Needed,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,40,,2015-10-15,Speciality A/V Sound Technician,,,,,,,4,,160,160,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Coffee Service,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Compostable Dishware & Silverware,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Security (Outsourced upon request),,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Early Set Up Fee,,,,,,,,,,,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,,,2015-10-15,Total,,,,,,,,,,1520.625,Non Member Weekday Rate - Returning client discount,815002 Occur Award Dinner
,210,,2015-06-07,On Broadway,0.75,,,,,,9.5,,1995,498.75,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,140,,2015-06-07,Atrium,1,,,,,,1,,140,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,105,,2015-06-07,Jingletown Lounge,1,,,,,,1,,105,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,OMI Gallery,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,Meridian Room,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,70,,2015-06-07,Uptown,1,,,,,,1,,70,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,Downtown,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,East Oakland,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,West Oakland,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,75,,2015-06-07,Set Up & Reset,1,,,,,,2.75,,206.25,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,40,,2015-06-07,IHO Staffing,0.5,,,,,,10.25,,410,205,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,200,,2015-06-07,Standard Janitorial/Waste Removal Fee,0.5,,,,,,Flat Fee,,200,100,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,A/V Sound Technician (Full time),,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,Coffee Service ,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,Compostable dishware,,,,,,,,,,,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,Security,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,,,,,,,,,,,0,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,,,2015-06-07,Total,,,,,,,,,3126.25,803.75,Full time Member Weekend Rate - Founders Discount,615002-2 IHO Whole Person
,45,,2014-09-29,Meridian Room,,,,,,2.5,,,112.5,112.5,Full Time Member Weekday Rate,2145 Beyond the Culture_Sept
,,,2014-09-29,,,,,,,,,,,0,Full Time Member Weekday Rate,2145 Beyond the Culture_Sept
,,,2014-09-29,Total,,,,,,,,,112.5,112.5,Full Time Member Weekday Rate,2145 Beyond the Culture_Sept
,180,,2015-07-10,Lucky Goldfish,0.3,,,,,,10,,1800,1260,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,On Broadway,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Atrium,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Jingletown Lounge,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,OMI Gallery,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Meridian Room,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Uptown,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Downtown,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,East Oakland,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,West Oakland,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,50,,2015-07-10,Set Up & Reset ,,,,,,,3,,150,150,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,35,,2015-07-10,IHO Staffing ,,,,,,,3,,105,105,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,135,,2015-07-10,Standard Janitorial/Waste Removal Fee ,,,,,,,Flat Fee,,135,135,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Additional Services As Needed,,,,,,,,,,,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,40,,2015-07-10,Speciality A/V Sound Technician ,,,,,,,3,,120,120,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,12,,2015-07-10,Coffee Service ,,,,,,,,,0,0,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Compostable Dishware & Silverware,,,,,,,,,,,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Security (Outsourced upon request),,,,,,,,,,,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,,,2015-07-10,Total,,,,,,,,,2310,1770,RATE: Full Time Member Weekday Rate -­‐ Full Day Rental,615006 BaseCamp
,315,,2015-02-15,On Broadway,1,,,,,,4.5,,1417.5,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Atrium,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Jingletown Lounge,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,OMI Gallery,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Meridian Room,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Uptown,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Downtown,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,East Oakland,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,West Oakland,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,75,,2015-02-15,Set Up & Break Down,1,,,,,,3.5,,262.5,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,50,,2015-02-15,IHO Weekend Staffing,,,,,,,8,,400,400,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,500,,2015-02-15,Standard Janitorial/Waste Removal Fee,,,,,,,Flat Fee,,500,500,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,A/V Technician,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Coffee Service ,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Security,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,,,,,,,,,,,0,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,,,2015-02-15,Total,,,,,,,,,2580,900,Non-Member Weekend Rate - Partnership discount,115016 Music for the People Ent
,50,?,,On Broadway Room Rental,,,,,,Flat Fee,,,,50,,2132 NAACP Cancel Fee
,,?,,Total,,,,,,,,,,50,,2132 NAACP Cancel Fee
,225,2014-07-29,,On Broadway,,,,,,2,,,,450,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Atrium,,,,,,,,,,0,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Omi Gallery,,,,,,,,,,0,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Jingletown Lounge (Mezzanine),,,,,,,,,,0,Part Time Weekday Rate,2098 Port Of Oakland
,50,2014-07-29,,Set Up & Break Down,,,,,,2.5,,,,125,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Large Party Cleaning Fee,,,,,,,,,,,Part Time Weekday Rate,2098 Port Of Oakland
,250,2014-07-29,,Standard Cleaning Fee,,,,,,Flat Fee,,,,250,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,A/V Technician,,,,,,,,,,0,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Coffee Service,,,,,,,,,,,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Security,,,,,,,,,,,Part Time Weekday Rate,2098 Port Of Oakland
,,2014-07-29,,Total,,,,,,,,,,825,Part Time Weekday Rate,2098 Port Of Oakland
,35.36,,2015-06-04,Compostables (100 cups and 100 plates),,,,,,,Flat Fee,,35.36,35.36,Part Time Member Weekday Rate,415006-3 CSS Member
,,,2015-06-04,,,,,,,,,,,0,Part Time Member Weekday Rate,415006-3 CSS Member
,,,2015-06-04,Total,,,,,,,,,35.36,35.36,Part Time Member Weekday Rate,415006-3 CSS Member
,45,,"March. 13 - March 15, 2014",Meridian Room,0.2,,,,,14,,,630,504,Full Time Member Weekday Rate -- Multi-Day Discount,2144 Feng Shui School_March
,,,"March. 13 - March 15, 2014",Total,,,,,,,,,630,504,Full Time Member Weekday Rate -- Multi-Day Discount,2144 Feng Shui School_March
,140,2014-09-18,,On Broadway,,,,,,3,,,,420,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Atrium,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Omi Gallery,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Jingletown Lounge (Mezzanine),,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Green Room,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,50,2014-09-18,,Set Up & Break Down,,,,,,2,,,,100,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Large Party Cleaning Fee,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,250,2014-09-18,,Standard Cleaning Fee,,,,,,Flat Fee,,,,250,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,A/V Technician,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Coffee Service,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Security,,,,,,,,,,0,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,,2014-09-18,,Total,,,,,,,,,,770,Full Time Member Weekday Rate,2113 ThirdThursday_Sept
,295,,2014-12-10,On Broadway,0.1,,,,,3,,,885,796.5,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,195,,2014-12-10,Atrium,0.1,,,,,3,,,585,526.5,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,Jingletown Lounge,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,OMI Gallery,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,Meridian Room,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,Uptown,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,Downtown,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,East Oakland,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,West Oakland,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,30,,2014-12-10,Staffing (Site Manager),,,,,,5,,,150,150,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,75,,2014-12-10,Set Up & Break Down,1,,,,,2,,,150,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,500,,2014-12-10,Large Party Janitorial Fee,0.5,,,,,Flat Fee,,,500,250,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,40,,2014-12-10,A/V Technician,,,,,,5,,,200,200,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,Coffee Service ($10/thermos),,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,,,,,,,,,,,0,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,,,2014-12-10,Total,,,,,,,,,2470,1923,Non Member Weekday Rate -- Multi-Room Discount,2182 Diversity Challenge
,315,2014-08-09,,On Broadway,0.45,,,,,4,,,1260,693,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,comped,2014-08-09,,Downtown room,,,,,,,,,,comped,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,50,2014-08-09,,Set Up & Break Down,0,,,,,2.5,,,125,125,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,250,2014-08-09,,Large Party Cleaning Fee,0,,,,,Flat Fee,,,250,250,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,40,2014-08-09,,A/V Technician,0,,,,,2,,,80,80,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,,2014-08-09,,Coffee Service ,,,,,,,,,,,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,,2014-08-09,,Total,,,,,,,,,1715,1148,Non-Member Weekend Rate,2101 MarcusFosterEduFund_rev1
,255,,2015-01-17,On Broadway,,,,,,4,,,1020,1020,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,Atrium,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,Jingletown Lounge,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,OMI Gallery,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,Meridian Room,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,Uptown,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,75,,2015-01-17,Downtown,1,,,,,7,,,525,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,East Oakland,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,West Oakland,,,,,,,,,0,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,75,,2015-01-17,Set Up & Break Down,,,,,,3,,,225,225,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,250,,2015-01-17,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,40,,2015-01-17,A/V Technician,,,,,,6,,,240,240,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,,,,,,,,,,,0,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,,2015-01-17,Total,,,,,,,,,2260,1735,Part Time Member Weekend Rate,2180 Sandra Lawson_PTmember
,,2014-04-07,,On Broadway,,,,,,,,,,0,,2040 Catchafire AV
,,2014-04-07,,Atrium,,,,,,,,,,0,,2040 Catchafire AV
,,2014-04-07,,Entire Mezzanine,,,,,,,,,,0,,2040 Catchafire AV
,60,2014-04-07,,A/V Technician,,,,,,3,,,,180,,2040 Catchafire AV
,,2014-04-07,,Large Party Cleaning Fee,,,,,,,,,,,,2040 Catchafire AV
,,2014-04-07,,Total,,,,,,,,,,180,,2040 Catchafire AV
,28.53,,2015-06-04,Compostables (100 cups and 100 plates),,,,,,,Flat Fee,,28.53,28.53,Part Time Member Weekday Rate,415006-2 CSS Member
,,,2015-06-04,,,,,,,,,,,0,Part Time Member Weekday Rate,415006-2 CSS Member
,,,2015-06-04,Total,,,,,,,,,28.53,28.53,Part Time Member Weekday Rate,415006-2 CSS Member
,295,,2015-07-13,On Broadway,,,,,,,2,,590,590,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Atrium,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Jingletown Lounge,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,OMI Gallery,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Meridian Room,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Uptown,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Downtown,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,35,,2015-07-13,East Oakland,,,,,,,4.5,,157.5,157.5,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,West Oakland,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,75,,2015-07-13,Set Up & Reset,,,,,,,2,,150,150,Non Member Weekday Rate,415008 Rockwood Institute
,40,,2015-07-13,IHO Staffing,,,,,,,4.5,,180,180,Non Member Weekday Rate,415008 Rockwood Institute
,300,,2015-07-13,Standard Janitorial & Waste Removal Fee,,,,,,,Flat Fee,,300,300,Non Member Weekday Rate,415008 Rockwood Institute
,40,,2015-07-13,A/V Technician,,,,,,,4,,160,160,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Coffee Service ,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Security,,,,,,,,,0,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,,,,,,,,,,,0,Non Member Weekday Rate,415008 Rockwood Institute
,,,2015-07-13,Total,,,,,,,,,1537.5,1537.5,Non Member Weekday Rate,415008 Rockwood Institute
,225,,2015-05-05,On Broadway,1,,,,,3,,,675,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Atrium,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Jingletown Lounge,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,OMI Gallery,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Meridian Room,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Uptown,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Downtown,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,East Oakland,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,West Oakland,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,75,,2015-05-05,Set Up & Break Down,0.2,,,,,2,,,150,120,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,40,,2015-05-05,IHO Staffing,,,,,,5,,,200,200,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,40,,2015-05-05,A/V Sound Technician,,,,,,4.5,,,180,180,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Coffee Service,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Compostables,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Security,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,,,,,,,,,,,0,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,,,2015-05-05,Total,,,,,,,,,1205,500,Part Time Member Weekday Rate - Partnership Discount,415015 Sound of Torture
,180,,2015-01-22,On Broadway,,,,,,3,,,540,540,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,Atrium,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,Jingletown Lounge,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,OMI Gallery,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,The Courtyard,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,Uptown,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,Downtown,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,East Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,West Oakland,,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,50,,2015-01-22,Set Up & Break Down,,,,,,2.5,,,125,125,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,250,,2015-01-22,Standard Janitorial Fee,,,,,,Flat Fee,,,250,250,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,40,,2015-01-22,A/V sound Technician,,,,,,4,,,160,160,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,Coffee Service ($10/thermos),,,,,,,,,0,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,,,,,,,,,,,0,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,,,2015-01-22,Total,,,,,,,,,1075,1075,Full Time Member Weekday Rate - Founder Discount,2120 OneLifeInstitute
,255,,2011-09-18,On Broadway,0.25,,,,,,5,,1275,956.25,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,Atrium,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,Jingletown Lounge,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,OMI Gallery,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,Meridian Room,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,Uptown,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,Downtown,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,East Oakland,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
,,,2011-09-18,West Oakland,,,,,,,,,,0,Part Member Weekend Rate - Multi Room Discount,715006 BeThePeace
