room,day_dur,day_type,membership,discount_type,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,EFF_RATE,count
ATRIUM,FULL,WEEKDAY,NON_MEMBER,DISCOUNT,195.00, 3.40,663.00, 0.48,347.10,102.09,5
,,,,NO_DISCOUNT,195.00, 3.50,682.50, 0.00,682.50,195.00,1
,,,PART_TIME,DISCOUNT,154.29, 2.93,452.14, 0.20,355.50,121.39,7
,,,,NO_DISCOUNT,150.00, 3.80,570.00, 0.00,570.00,150.00,5
,,WEEKEND,FULL_TIME,DISCOUNT,140.00, 4.62,647.50, 0.57,294.00,63.57,8
,,,,NO_DISCOUNT,130.00, 3.50,460.00, 0.00,460.00,131.43,2
,,,NON_MEMBER,DISCOUNT,225.00, 4.71,1059.38, 0.40,664.22,141.07,12
,,,,NO_DISCOUNT,140.00, 3.00,420.00, 0.00,420.00,140.00,1
,,,PART_TIME,DISCOUNT,248.40, 5.00,968.40, 0.50,437.40,87.48,10
,,,,NO_DISCOUNT,172.50, 4.75,813.75, 0.00,813.75,171.32,4
,HALF,WEEKDAY,FULL_TIME,DISCOUNT,110.00, 2.00,220.00, 0.24,163.35,81.67,5
,,,,NO_DISCOUNT,107.14, 2.00,211.43, 0.00,211.43,105.71,7
,,,NON_MEMBER,DISCOUNT,195.00, 2.38,463.12, 0.46,241.31,101.61,4
,,,,NO_DISCOUNT,195.00, 2.00,390.00, 0.00,390.00,195.00,1
,,,PART_TIME,DISCOUNT,150.00, 2.00,300.00, 0.50,150.00,75.00,1
,,,,NO_DISCOUNT,150.00, 2.25,337.50, 0.00,337.50,150.00,4
,,WEEKEND,FULL_TIME,DISCOUNT,140.00, 2.00,280.00, 0.50,140.00,70.00,2
,,,NON_MEMBER,,225.00, 1.67,375.00, 0.72,124.50,74.70,3
,,,,NO_DISCOUNT,225.00, 6.00,1350.00, 0.00,1350.00,225.00,1
,,,PART_TIME,DISCOUNT,180.00, 3.00,540.00, 0.00,540.00,180.00,1
BROADWAY,FULL,WEEKDAY,FULL_TIME,,180.00, 4.25,765.00, 0.47,360.81,84.90,5
,,,,NO_DISCOUNT,208.75, 3.00,626.25, 0.00,626.25,208.75,4
,,,NON_MEMBER,DISCOUNT,295.00, 3.31,975.77, 0.31,679.98,205.57,13
,,,,NO_DISCOUNT,312.50, 3.00,963.75, 0.00,963.75,321.25,6
,,,PART_TIME,DISCOUNT,232.78, 3.11,723.33, 0.24,537.46,172.75,9
,,,,NO_DISCOUNT,226.43, 4.07,928.21, 0.00,928.21,227.98,7
,,WEEKEND,FULL_TIME,DISCOUNT,208.42, 5.24,1087.89, 0.46,607.61,116.03,19
,,,,NO_DISCOUNT,185.33, 3.00,556.00, 0.00,556.00,185.33,6
,,,NON_MEMBER,DISCOUNT,315.00, 4.78,1506.09, 0.31,1056.73,221.01,16
,,,,NO_DISCOUNT,313.75, 3.75,1178.75, 0.00,1178.75,314.33,16
,,,PART_TIME,DISCOUNT,253.10, 5.79,1463.93, 0.26,976.52,168.78,21
,,,,NO_DISCOUNT,255.00, 3.92,998.75, 0.00,998.75,255.00,12
,HALF,WEEKDAY,FULL_TIME,DISCOUNT,180.00, 2.24,403.71, 0.19,317.25,141.45,14
,,,,NO_DISCOUNT,170.00, 2.79,472.50, 0.00,472.50,169.25,12
,,,NON_MEMBER,DISCOUNT,272.35, 2.50,673.53,36.56,350.34,140.13,17
,,,,NO_DISCOUNT,295.00, 2.40,708.00, 0.00,708.00,295.00,20
,,,PART_TIME,DISCOUNT,260.00, 3.00,780.00, 0.62,331.88,110.62,2
,,,,NO_DISCOUNT,211.85, 2.35,502.45, 0.00,502.45,213.81,20
,,WEEKEND,FULL_TIME,DISCOUNT,210.00,10.50,2205.00, 0.66,742.35,70.70,3
,,,,NO_DISCOUNT,217.50, 2.00,438.75, 0.00,438.75,219.38,6
,,,NON_MEMBER,DISCOUNT,315.00, 2.67,840.00, 0.60,378.00,141.75,3
,,,,NO_DISCOUNT,315.00, 3.00,945.00, 0.00,945.00,315.00,3
,,,PART_TIME,DISCOUNT,255.00, 4.75,1211.25, 0.48,411.82,86.70,2
,,,,NO_DISCOUNT,240.00, 2.38,575.62, 0.00,575.62,242.37,4
