day_type,day_dur,discount_type,membership_level,ROOM,AMOUNT,EFF_RATE
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,UPTOWN,40.00,160.00
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,MERIDIAN,45.00,43.59
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,OMI,58.00,58.00
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,JINGLETOWN,75.00,75.00
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,ATRIUM,107.14,99.29
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,FULL_TIME,BROADWAY,170.00,170.00
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,EAST_OAK,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,WEST_OAK,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,DOWNTOWN,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,UPTOWN,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,MERIDIAN,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,OMI,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,JINGLETOWN,,
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,ATRIUM,106.00,101.60
WEEKDAY,PARTIAL_DAY,NO_DISCOUNT,unknown,BROADWAY,179.09,172.00
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,EAST_OAK,45.00,39.58
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,WEST_OAK,35.00, 0.00
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,DOWNTOWN,95.00, 0.00
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,UPTOWN,65.00,32.50
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,MERIDIAN,,
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,OMI,120.00,60.00
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,JINGLETOWN,150.00,150.00
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,ATRIUM,195.00,101.40
WEEKDAY,FULL_DAY,DISCOUNT,NON_MEMBER,BROADWAY,295.00,202.64
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,EAST_OAK,25.00,22.50
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,WEST_OAK,,
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,DOWNTOWN,45.00,40.50
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,UPTOWN,65.00,47.67
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,MERIDIAN,,
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,OMI,85.00,70.43
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,JINGLETOWN,115.00,95.29
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,ATRIUM,153.00,104.40
WEEKDAY,FULL_DAY,DISCOUNT,PART_TIME,BROADWAY,230.83,155.71
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,EAST_OAK,,
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,WEST_OAK,,
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,DOWNTOWN,,
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,UPTOWN,,
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,MERIDIAN,45.22,36.18
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,OMI,60.00,38.58
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,JINGLETOWN,,
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,ATRIUM,,
WEEKDAY,FULL_DAY,DISCOUNT,FULL_TIME,BROADWAY,180.00,94.68
WEEKDAY,FULL_DAY,DISCOUNT,unknown,EAST_OAK,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,WEST_OAK,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,DOWNTOWN,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,UPTOWN,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,MERIDIAN,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,OMI,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,JINGLETOWN,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,ATRIUM,,
WEEKDAY,FULL_DAY,DISCOUNT,unknown,BROADWAY,180.00,14.40
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,EAST_OAK,35.00,35.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,WEST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,DOWNTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,UPTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,MERIDIAN,95.00,95.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,OMI,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,JINGLETOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,ATRIUM,195.00,195.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,NON_MEMBER,BROADWAY,312.50,312.50
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,EAST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,WEST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,DOWNTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,UPTOWN,65.00,65.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,MERIDIAN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,OMI, 0.00, 0.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,JINGLETOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,ATRIUM,150.00,150.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,PART_TIME,BROADWAY,226.43,226.43
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,EAST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,WEST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,DOWNTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,UPTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,MERIDIAN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,OMI,60.00,60.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,JINGLETOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,ATRIUM,110.00,110.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,FULL_TIME,BROADWAY,203.00,167.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,EAST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,WEST_OAK,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,DOWNTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,UPTOWN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,MERIDIAN,,
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,OMI,60.00,60.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,JINGLETOWN,92.50,92.50
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,ATRIUM,130.00,130.00
WEEKDAY,FULL_DAY,NO_DISCOUNT,unknown,BROADWAY,221.25,221.25
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,EAST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,WEST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,UPTOWN,115.00,109.25
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,MERIDIAN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,OMI,,
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,ATRIUM,225.00,62.25
WEEKEND,PARTIAL_DAY,DISCOUNT,NON_MEMBER,BROADWAY,315.00,126.00
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,EAST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,WEST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,DOWNTOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,UPTOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,MERIDIAN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,OMI,90.00,90.00
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,JINGLETOWN,,
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,ATRIUM,180.00,180.00
WEEKEND,PARTIAL_DAY,DISCOUNT,PART_TIME,BROADWAY,255.00,229.50
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,EAST_OAK,,
WEEKEND,PARTIAL_DAY,DISCOUNT,FULL_TIME,WEST_OAK,,
