invoice,DATE,invoice_date,ROOM,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership_level,discount_type,day_type,day_dur,EFF_RATE
1115003-3,2015-11-08,2015-11-11,BROADWAY,210.00,10.50,2205.00, 0.59,904.05,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,86.10
1115004,2011-12-07,2015-11-10,JINGLETOWN,75.00, 2.50,187.50, 0.00,187.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,75.00
1115004,2011-12-07,2015-11-10,MERIDIAN,45.00, 1.00,45.00, 0.50,22.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,22.50
1115005,2015-11-20,2015-11-10,BROADWAY,315.00, 2.00,630.00, 1.00, 0.00,NON_MEMBER,FOUNDER,WEEKEND,PARTIAL_DAY, 0.00
1115006,2015-12-17,2015-11-11,BROADWAY,225.00, 3.00,675.00, 0.60,270.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006,2015-12-17,2015-11-11,ATRIUM,150.00, 3.00,450.00, 0.60,180.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-3,2015-12-17,2015-12-09,BROADWAY,225.00, 3.50,787.50, 0.60,315.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006-3,2015-12-17,2015-12-09,ATRIUM,150.00, 3.50,525.00, 0.60,210.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-3,2015-12-17,2015-12-09,JINGLETOWN,115.00, 3.50,402.50, 0.10,362.25,PART_TIME,unknown,WEEKDAY,FULL_DAY,103.50
1115006-3,2015-12-17,2015-12-09,OMI,85.00, 3.50,297.50, 0.10,267.75,PART_TIME,unknown,WEEKDAY,FULL_DAY,76.50
1115006-3,2015-12-17,2015-12-09,UPTOWN,65.00, 3.50,227.50, 0.10,204.75,PART_TIME,unknown,WEEKDAY,FULL_DAY,58.50
1115006-4,2015-12-17,2015-12-10,BROADWAY,225.00, 3.00,675.00, 0.60,270.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006-4,2015-12-17,2015-12-10,ATRIUM,150.00, 3.00,450.00, 0.60,180.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-4,2015-12-17,2015-12-10,JINGLETOWN,115.00, 3.00,345.00, 0.20,276.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,92.00
1115006-4,2015-12-17,2015-12-10,OMI,85.00, 3.00,255.00, 0.20,204.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,68.00
1115006-4,2015-12-17,2015-12-10,UPTOWN,65.00, 3.00,195.00, 0.20,156.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,52.00
1115006-5,2015-12-17,2015-12-11,BROADWAY,225.00, 3.00,675.00, 0.60,270.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,90.00
1115006-5,2015-12-17,2015-12-11,ATRIUM,150.00, 3.00,450.00, 0.60,180.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,60.00
1115006-5,2015-12-17,2015-12-11,JINGLETOWN,115.00, 3.00,345.00, 0.50,172.50,PART_TIME,unknown,WEEKDAY,FULL_DAY,57.50
1115006-5,2015-12-17,2015-12-11,OMI,85.00, 3.00,255.00, 0.50,127.50,PART_TIME,unknown,WEEKDAY,FULL_DAY,42.50
1115006-5,2015-12-17,2015-12-11,UPTOWN,65.00, 3.00,195.00, 0.50,97.50,PART_TIME,unknown,WEEKDAY,FULL_DAY,32.50
1115007,2015-12-02,2015-11-13,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
1115007-2,2015-12-02,2015-12-02,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
1115008,2017-04-29,2015-11-13,BROADWAY,315.00, 4.50,1417.50, 0.00,1417.50,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,315.00
1115008,2017-04-29,2015-11-13,ATRIUM,225.00, 4.50,1012.50, 0.50,506.25,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,112.50
1115008,2017-04-29,2015-11-13,OMI,145.00, 4.50,652.50, 0.50,326.25,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,72.50
1115009,2016-03-19,2015-11-13,BROADWAY,255.00, 8.00,2040.00, 0.00,2040.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,255.00
1115009,2016-03-19,2015-11-13,ATRIUM,180.00, 8.00,1440.00, 0.50,720.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,90.00
1115009,2016-03-19,2015-11-13,JINGLETOWN,145.00, 8.00,1160.00, 0.50,580.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,72.50
1115009,2016-03-19,2015-11-13,OMI,85.00, 8.00,680.00, 0.50,340.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,42.50
1115009,2016-03-19,2015-11-13,MERIDIAN,70.00, 8.00,560.00, 0.50,280.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,35.00
1115009,2016-03-19,2015-11-13,DOWNTOWN,45.00, 8.00,360.00, 0.50,180.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,22.50
1115010,2016-07-22,2015-11-18,BROADWAY,210.00, 5.50,1155.00, 0.50,577.50,FULL_TIME,MULTI_DAY,WEEKEND,FULL_DAY,105.00
1115011,2016-01-02,2015-11-18,ATRIUM,180.00, 3.00,540.00, 0.00,540.00,PART_TIME,FRIEND,WEEKEND,PARTIAL_DAY,180.00
1115012-2,2016-11-17,2015-12-08,BROADWAY,295.00, 2.50,737.50, 0.00,737.50,unknown,NONE,WEEKDAY,PARTIAL_DAY,295.00
1115013,2015-12-12,2015-11-19,BROADWAY,315.00, 4.50,1417.50, 0.00,1417.50,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
1115013-2,2015-12-12,2015-11-19,BROADWAY,315.00, 4.50,1417.50, 0.00,1417.50,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
1115013-3,2015-12-12,2015-12-02,BROADWAY,315.00, 5.00,1575.00, 0.00,1575.00,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,315.00
1115013-3,2015-12-12,2015-12-02,ATRIUM,255.00, 5.00,1275.00, 0.50,637.50,NON_MEMBER,MULTI_ROOM,WEEKEND,FULL_DAY,127.50
1115014,2016-03-05,2015-11-23,BROADWAY,255.00, 2.50,637.50, 0.00,637.50,PART_TIME,NONE,WEEKEND,PARTIAL_DAY,255.00
1115015,2016-01-28,2015-11-25,BROADWAY,180.00, 2.50,450.00, 0.10,405.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,162.00
1115016,2016-02-25,2015-11-25,BROADWAY,180.00, 2.50,450.00, 0.10,405.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,162.00
1115017,2016-03-24,2015-11-25,BROADWAY,180.00, 2.50,450.00, 0.10,405.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,162.00
1115018,2016-06-09,2015-11-25,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
1115019,2016-02-28,2015-11-25,BROADWAY,255.00, 3.00,765.00, 0.00,765.00,PART_TIME,NONE,WEEKEND,PARTIAL_DAY,255.00
