invoice,DATE,invoice_date,ROOM,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership_level,discount_type,day_type,day_dur,EFF_RATE
2069,2014-04-29,2014-05-27,BROADWAY,150.00, 2.00,300.00, 0.00,300.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,150.00
2070,2014-05-29,2014-05-27,BROADWAY,150.00, 2.00,300.00, 0.00,300.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,150.00
2071,2014-06-25,2014-05-27,BROADWAY,150.00, 2.00,300.00, 0.00,300.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,150.00
2076,2014-05-17,2014-05-30,BROADWAY,50.00, 4.00,200.00, 0.00,200.00,unknown,NONE,WEEKEND,FULL_DAY,50.00
2078,2014-06-19,2014-06-03,BROADWAY,140.00, 3.00,420.00, 0.00,420.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,140.00
2079,2014-07-16,2014-06-03,BROADWAY,140.00, 3.00,420.00, 0.00,420.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,140.00
2081,2014-07-19,2014-06-06,ATRIUM,140.00, 4.00,560.00, 0.00,560.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,140.00
2082,2014-06-22,2014-06-09,BROADWAY,295.00, 2.00,590.00, 0.00,590.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,295.00
2084,2014-06-24,2014-06-16,BROADWAY,295.00, 2.00,590.00, 0.00,590.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2085,2014-06-21,2014-06-17,BROADWAY,62.00, 3.00,186.00, 0.00,186.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,62.00
2086,2014-07-15,2014-06-16,MERIDIAN, 0.00, 3.00, 0.00, 1.00, 0.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY, 0.00
2087,2014-07-16,2014-06-18,BROADWAY,275.00, 3.00,825.00, 0.00,825.00,unknown,NONE,WEEKDAY,FULL_DAY,275.00
2087,2014-07-16,2014-06-18,ATRIUM,130.00, 3.00,390.00, 0.00,390.00,unknown,NONE,WEEKDAY,FULL_DAY,130.00
2087,2014-07-16,2014-06-18,OMI, 0.00,, 0.00, 1.00, 0.00,unknown,NONE,WEEKDAY,FULL_DAY, 0.00
2087,2014-07-16,2014-06-18,JINGLETOWN, 0.00,, 0.00, 1.00, 0.00,unknown,NONE,WEEKDAY,FULL_DAY, 0.00
2088,2014-07-19,2014-06-19,MERIDIAN,125.00, 5.00,625.00, 0.00,625.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,125.00
2089,2014-07-20,2014-06-19,BROADWAY,140.00, 4.00,560.00, 0.00,560.00,unknown,FRIEND,WEEKEND,PARTIAL_DAY,140.00
2089,2014-07-20,2014-06-19,ATRIUM,55.00, 4.00,220.00, 0.00,220.00,unknown,FRIEND,WEEKEND,PARTIAL_DAY,55.00
2089,2014-07-20,2014-06-19,OMI, 0.00,, 0.00, 1.00, 0.00,unknown,FRIEND,WEEKEND,PARTIAL_DAY, 0.00
2090,2014-11-06,2014-06-23,BROADWAY,225.00, 4.00,900.00, 0.00,900.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,225.00
2090,2014-11-06,2014-06-23,ATRIUM,150.00, 4.00,600.00, 0.00,600.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,150.00
2090,2014-11-06,2014-06-23,OMI, 0.00,, 0.00, 1.00, 0.00,PART_TIME,NONE,WEEKDAY,FULL_DAY, 0.00
2090,2014-11-06,2014-06-23,UPTOWN,65.00, 4.00,260.00, 0.00,260.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,65.00
2091,2014-09-12,2014-06-23,BROADWAY,205.00, 4.00,820.00, 0.00,820.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,205.00
2091,2014-09-12,2014-06-23,ATRIUM,150.00, 4.00,600.00, 0.00,600.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,150.00
2092,?,2014-06-16,BROADWAY,50.00, 1.00,50.00, 0.00,50.00,unknown,NONE,,PARTIAL_DAY,50.00
2093,?,2014-06-23,BROADWAY,210.00, 1.00,210.00, 0.00,210.00,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,210.00
2094,2014-07-10,2014-06-25,BROADWAY,180.00, 2.50,450.00, 0.00,450.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,180.00
2095,Every Tuesday,2014-06-25,UPTOWN,40.00, 2.00,80.00, 0.00,560.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,280.00
2096,2014-06-29,2014-06-25,BROADWAY, 0.00, 4.00, 0.00, 1.00, 0.00,unknown,unknown,WEEKEND,FULL_DAY, 0.00
2097,2014-07-08,2014-06-25,BROADWAY,295.00, 2.50,737.50, 0.00,737.50,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,295.00
2098,2014-07-29,2014-06-27,BROADWAY,225.00, 2.00,450.00, 0.00,450.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2099,2014-10-02,2014-06-27,BROADWAY,225.00, 4.50,1012.50, 0.26,749.25,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,166.50
2099,2014-10-02,2014-06-27,ATRIUM,150.00, 4.50,675.00, 0.26,499.50,PART_TIME,MULTI_ROOM,WEEKDAY,FULL_DAY,111.00
2100,2014-09-08,2014-07-07,BROADWAY,225.00, 4.00,900.00, 0.00,900.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,225.00
2100,2014-09-08,2014-07-07,ATRIUM,150.00, 4.00,600.00, 0.00,600.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,150.00
2101,2014-08-09,2014-07-10,BROADWAY,315.00, 4.00,1260.00, 0.10,1134.00,NON_MEMBER,unknown,WEEKEND,FULL_DAY,283.50
2101,2014-08-09,2014-07-10,ATRIUM,225.00, 3.00,675.00, 0.10,607.50,NON_MEMBER,unknown,WEEKEND,FULL_DAY,202.50
2101,2014-08-09,2014-07-10,OMI,145.00, 3.00,435.00, 0.10,391.50,NON_MEMBER,unknown,WEEKEND,FULL_DAY,130.50
2101,2014-08-09,2014-07-10,MERIDIAN,125.00, 3.00,375.00, 0.10,337.50,NON_MEMBER,unknown,WEEKEND,FULL_DAY,112.50
2102,2014-09-05,2014-07-10,BROADWAY,180.00, 5.00,900.00, 0.00,900.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,180.00
2103,2014-08-04,2014-07-15,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2104,2014-07-23,2014-07-21,BROADWAY,225.00, 2.50,562.50, 0.00,562.50,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2105,2014-09-19,2014-07-31,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,225.00
2105,2014-09-19,2014-07-31,ATRIUM,150.00, 3.00,450.00, 0.00,450.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,150.00
2105,2014-09-19,2014-07-31,OMI, 0.00,, 0.00, 1.00, 0.00,PART_TIME,NONE,WEEKDAY,FULL_DAY, 0.00
2107,2014-10-11,2014-08-05,BROADWAY,315.00, 3.00,945.00, 0.60,378.00,NON_MEMBER,REOCURRING,WEEKEND,FULL_DAY,126.00
2108,2014-08-13,2014-08-05,OMI,85.00, 2.00,170.00, 0.00,170.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,85.00
2109,2014-10-18,2014-08-06,ATRIUM,120.00, 3.00,360.00, 0.00,360.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,120.00
2110,2014-11-21,2014-08-06,BROADWAY,295.00, 3.00,885.00, 0.25,663.75,PART_TIME,unknown,WEEKDAY,PARTIAL_DAY,221.25
2111,2014-08-14,2014-08-06,BROADWAY,180.00, 2.00,360.00, 0.58,151.20,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,75.60
2112,2014-08-07,2014-08-08,BROADWAY,295.00, 2.00,590.00, 1.00, 0.00,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY, 0.00
2113,2014-09-18,2014-08-08,BROADWAY,140.00, 3.00,420.00, 0.00,420.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,140.00
2114,2014-09-25,2014-08-08,BROADWAY,180.00, 2.00,360.00, 0.00,360.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,180.00
2115,2014-08-27,2014-08-19,OMI,115.00, 2.00,230.00, 0.50,115.00,NON_MEMBER,unknown,WEEKDAY,PARTIAL_DAY,57.50
2116,2014-09-09,2014-08-20,UPTOWN,40.00, 4.00,160.00, 0.00,160.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,40.00
2117,2014-11-18,2014-11-18,BROADWAY,180.00, 2.50,450.00, 0.00,450.00,unknown,NONE,WEEKDAY,FULL_DAY,180.00
2118,2014-09-23,2014-09-23,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,unknown,NONE,WEEKDAY,FULL_DAY,225.00
2119,2014-09-15,2014-08-19,BROADWAY,225.00, 2.00,450.00, 0.00,450.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2120,2015-01-22,2014-08-22,BROADWAY,180.00, 3.00,540.00, 0.00,540.00,FULL_TIME,FOUNDER,WEEKDAY,FULL_DAY,180.00
2121,2014-09-16,2014-08-25,BROADWAY,180.00, 4.50,810.00, 0.67,267.30,FULL_TIME,FOUNDER,WEEKDAY,FULL_DAY,59.40
2122,2014-12-03,2014-08-26,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2123,2014-10-11,2014-08-26,BROADWAY,210.00, 2.00,420.00, 0.00,420.00,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,210.00
2124,2014-11-01,2014-08-28,BROADWAY,255.00, 3.00,765.00, 0.10,688.50,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,229.50
2124,2014-11-01,2014-08-28,ATRIUM,180.00, 3.00,540.00, 0.10,486.00,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,162.00
2124,2014-11-01,2014-08-28,JINGLETOWN,145.00, 3.00,435.00, 0.10,391.50,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,130.50
2124,2014-11-01,2014-08-28,OMI,115.00, 3.00,345.00, 0.10,310.50,PART_TIME,MULTI_ROOM,WEEKEND,FULL_DAY,103.50
2125,2014-09-07,2014-08-28,DOWNTOWN,55.00, 5.00,275.00, 0.00,275.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,55.00
2126,2014-09-20,2014-09-03,DOWNTOWN,25.00, 6.00,150.00, 0.00,150.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,25.00
2128,9/20/14-9/21/14,2014-09-05,MERIDIAN,75.00,16.00,1200.00, 0.00,1200.00,FULL_TIME,NONE,WEEKEND,FULL_DAY,75.00
2129,2014-09-04,2014-09-04,BROADWAY,295.00, 2.00,590.00, 1.00, 0.00,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY, 0.00
2130,2014-10-03,2014-09-08,ATRIUM,110.00, 1.50,165.00, 0.00,165.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,110.00
2131,2014-09-24,2014-09-08,BROADWAY,100.00, 2.50,250.00, 0.00,250.00,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,100.00
2132,?,2014-09-09,BROADWAY,50.00, 1.00,50.00, 0.00,50.00,unknown,NONE,,PARTIAL_DAY,50.00
2133,?,2014-09-09,BROADWAY,50.00, 1.00,50.00, 0.00,50.00,unknown,NONE,,PARTIAL_DAY,50.00
2134,2014-11-05,2014-09-10,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,295.00
2134,2014-11-05,2014-09-10,EAST_OAK,35.00, 4.00,140.00, 0.00,140.00,NON_MEMBER,NONE,WEEKDAY,FULL_DAY,35.00
2135,2014-11-05,2014-09-11,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY,295.00
2136,2014-10-22,2014-09-12,BROADWAY,295.00, 2.50,737.50, 0.00,737.50,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2137,2014-10-24,2014-09-12,DOWNTOWN, 0.00,, 0.00, 1.00, 0.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY, 0.00
2138,2014-09-24,2014-09-17,OMI,115.00, 1.50,172.50, 0.00,172.50,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,115.00
2139,"Oct. 31, 2014",2014-09-19,MERIDIAN,45.00, 4.00,180.00, 0.20,144.00,FULL_TIME,MULTI_DAY,WEEKDAY,PARTIAL_DAY,36.00
2139,"Oct.10-Oct.12, 2014",2014-09-19,MERIDIAN,45.00,14.00,630.00, 0.20,504.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2140,"Nov. 1 - Nov. 2, 2014",2014-09-19,MERIDIAN,45.00,11.00,495.00, 0.20,396.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2140,"Nov. 21 - Nov. 23, 2014",2014-09-19,MERIDIAN,45.00,14.00,630.00, 0.20,504.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2141,"Dec. 12 - Dec.14, 2014",2014-09-19,MERIDIAN,45.00,14.00,630.00, 0.20,504.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2142,"Jan. 30 - Jan. 31, 2014",2014-09-19,MERIDIAN,46.00,14.00,644.00, 0.20,515.20,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.80
2142,"Jan. 9 - Jan. 11, 2014",2014-09-19,MERIDIAN,45.00,21.00,945.00, 0.20,756.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2143,"Feb. 1, 2014",2014-09-19,MERIDIAN,45.00, 7.00,315.00, 0.20,252.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2143,"Feb. 20 - Feb. 22, 2014",2014-09-19,MERIDIAN,46.00,21.00,966.00, 0.20,772.80,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.80
2144,"March. 13 - March 15, 2014",2014-09-19,MERIDIAN,45.00,14.00,630.00, 0.20,504.00,FULL_TIME,MULTI_DAY,WEEKDAY,FULL_DAY,36.00
2145,2014-09-29,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2146,2014-10-06,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2146,2014-10-13,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2146,2014-10-20,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2146,2014-10-27,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2147,2014-11-03,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2147,2014-11-10,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2147,2014-11-17,2014-09-19,MERIDIAN,45.00, 2.50,112.50, 0.00,112.50,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,45.00
2149,2014-11-13,2014-09-19,BROADWAY,295.00, 3.50,1032.50, 0.30,722.75,NON_MEMBER,unknown,WEEKDAY,FULL_DAY,206.50
2149,2014-11-13,2014-09-19,ATRIUM,195.00, 3.50,682.50, 0.30,477.75,NON_MEMBER,unknown,WEEKDAY,FULL_DAY,136.50
2150,2014-10-09,2014-09-02,BROADWAY,295.00, 1.50,442.50, 0.00,442.50,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
215001,2015-02-05,2015-01-09,BROADWAY,225.00, 2.00,450.00, 0.00,450.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
215002,2015-02-26,2015-01-14,BROADWAY,180.00, 3.00,540.00, 0.00,540.00,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,180.00
215004,2015-02-12,2014-12-31,ATRIUM,110.00, 2.00,220.00, 0.15,187.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,93.50
215004-2,2015-02-12,2015-02-11,OMI,60.00, 2.00,120.00, 0.15,102.00,FULL_TIME,unknown,WEEKDAY,PARTIAL_DAY,51.00
215005,2015-05-14,2015-02-04,BROADWAY,295.00, 3.00,885.00, 1.00, 0.00,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY, 0.00
215005,2015-05-14,2015-02-04,OMI,120.00, 3.50,420.00, 0.50,210.00,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY,60.00
215006,2015-02-23,2015-02-05,BROADWAY,180.00, 2.50,450.00, 0.20,360.00,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,144.00
215006-2,2015-02-23,2015-02-23,BROADWAY,180.00, 2.50,450.00, 0.20,360.00,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,144.00
215007,2015-02-14,2015-02-10,BROADWAY,255.00, 3.00,765.00, 0.00,765.00,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
215007-2,2015-02-14,2015-02-11,BROADWAY,255.00, 3.00,765.00, 0.55,344.25,PART_TIME,FOUNDER,WEEKEND,FULL_DAY,114.75
215008,2015-02-16,2015-02-11,BROADWAY,295.00, 3.00,885.00, 0.20,708.00,NON_MEMBER,FOUNDER,WEEKDAY,FULL_DAY,236.00
215008,2015-02-16,2015-02-11,ATRIUM,195.00, 3.00,585.00, 1.00, 0.00,NON_MEMBER,FOUNDER,WEEKDAY,FULL_DAY, 0.00
215009,2015-02-22,2015-02-11,BROADWAY,215.00, 6.00,1290.00, 0.25,967.50,PART_TIME,unknown,WEEKEND,FULL_DAY,161.25
215010,2015-03-04,2015-02-12,BROADWAY,225.00, 4.00,900.00, 0.00,900.00,PART_TIME,NONE,WEEKDAY,FULL_DAY,225.00
215010-2,2015-03-04,2015-02-12,BROADWAY,225.00, 4.00,900.00, 0.50,450.00,PART_TIME,unknown,WEEKDAY,FULL_DAY,112.50
215011,2015-06-13,2015-02-18,BROADWAY,315.00, 6.00,1890.00, 0.10,1701.00,NON_MEMBER,unknown,WEEKEND,FULL_DAY,283.50
215012,2015-03-12,2015-02-18,ATRIUM,110.00, 2.00,220.00, 0.00,220.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,110.00
215013,2015-03-21,2015-03-03,BROADWAY,210.00, 3.00,630.00, 0.25,472.50,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,157.50
215013-2,2015-03-21,2015-03-10,BROADWAY,210.00, 3.50,735.00, 0.25,551.25,FULL_TIME,FOUNDER,WEEKEND,FULL_DAY,157.50
215014,2015-03-21,2015-02-20,BROADWAY,315.00, 3.00,945.00, 0.40,567.00,NON_MEMBER,FRIEND,WEEKEND,PARTIAL_DAY,189.00
215014-2,2015-03-21,2015-02-20,BROADWAY,315.00, 3.00,945.00, 0.40,567.00,NON_MEMBER,FRIEND,WEEKEND,PARTIAL_DAY,189.00
215015,2015-04-24,2015-02-20,BROADWAY,315.00, 3.00,945.00, 0.00,945.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
215015-2,2015-04-24,2015-02-20,BROADWAY,315.00, 3.00,945.00, 0.00,945.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
215015-2,2015-04-24,2015-02-20,EAST_OAK,55.00, 5.50,302.50, 0.00,302.50,NON_MEMBER,NONE,WEEKEND,FULL_DAY,55.00
215016,2015-03-01,2015-02-24,OMI,90.00, 3.50,315.00, 0.00,315.00,FULL_TIME,NONE,WEEKEND,PARTIAL_DAY,90.00
2151,2014-10-03,2014-09-22,BROADWAY,295.00, 2.00,590.00, 0.32,401.20,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,200.60
2152,2014-09-24,2014-09-23,BROADWAY,140.00, 2.00,280.00, 0.00,280.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,140.00
2153,2014-11-19,2014-09-23,BROADWAY,140.00, 2.00,280.00, 0.00,280.00,unknown,NONE,WEEKDAY,PARTIAL_DAY,140.00
2154,2014-11-10,2014-09-23,BROADWAY,295.00, 2.00,590.00, 0.25,442.50,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,221.25
2155,2014-11-14,2014-09-23,BROADWAY,315.00, 4.00,1260.00, 0.00,1260.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
2156,2014-10-16,2014-10-01,OMI,115.00, 1.00,115.00, 0.00,115.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,115.00
2157,2014-12-11,2014-10-01,BROADWAY,295.00, 3.00,885.00, 0.50,442.50,NON_MEMBER,FRIEND,WEEKDAY,PARTIAL_DAY,147.50
2158,2014-12-02,2014-10-01,BROADWAY,295.00, 2.50,737.50, 0.00,737.50,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2159,2014-10-10,2014-10-01,BROADWAY,295.00, 3.00,885.00, 0.29,628.35,NON_MEMBER,FRIEND,WEEKDAY,FULL_DAY,209.45
2160,2014-11-04,2014-11-03,ATRIUM,195.00, 2.00,390.00, 0.00,390.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,195.00
2161,2014-11-19,2014-10-09,ATRIUM,110.00, 2.00,220.00, 0.00,220.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY,110.00
2162,2014-10-30,2014-10-16,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2163,2014-12-06,2014-10-20,BROADWAY,255.00, 5.00,1275.00, 0.00,1275.00,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
2164,2014-12-01,2014-10-23,BROADWAY,295.00, 2.00,590.00, 0.00,590.00,NON_MEMBER,NONE,WEEKDAY,PARTIAL_DAY,295.00
2165,2014-12-13,2014-10-23,BROADWAY,315.00, 5.00,1575.00, 0.00,1575.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
2166,2014-12-04,2014-10-24,OMI,60.00, 2.00,120.00, 0.00,120.00,FULL_TIME,NONE,WEEKDAY,PARTIAL_DAY,60.00
2167,2015-01-17,2014-10-28,BROADWAY,315.00, 4.00,1260.00, 0.00,1260.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,315.00
2167,2015-01-17,2014-10-28,DOWNTOWN,95.00, 7.00,665.00, 1.00, 0.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY, 0.00
2168,2014-11-20,2014-10-29,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2169,2014-12-12,2014-11-04,BROADWAY,295.00, 3.00,885.00, 0.00,885.00,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,295.00
2169,2014-12-12,2014-11-04,JINGLETOWN,150.00, 4.00,600.00, 0.00,600.00,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,150.00
2169,2014-12-12,2014-11-04,EAST_OAK,35.00, 6.00,210.00, 0.00,210.00,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,35.00
2169,2014-12-12,2014-11-04,WEST_OAK,35.00, 6.00,210.00, 1.00, 0.00,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY, 0.00
2170,2014-12-09,2014-11-04,BROADWAY,295.00, 3.50,1032.50, 0.00,1032.50,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,295.00
2170,2014-12-09,2014-11-04,EAST_OAK,35.00, 5.50,192.50, 0.00,192.50,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY,35.00
2170,2014-12-09,2014-11-04,WEST_OAK,35.00, 5.50,192.50, 1.00, 0.00,NON_MEMBER,MULTI_ROOM,WEEKDAY,FULL_DAY, 0.00
2171,2014-10-29,2014-11-04,BROADWAY,180.00, 2.00,360.00, 0.00,360.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY,180.00
2171,2014-10-29,2014-11-04,OMI,60.00, 1.00,60.00, 0.00,60.00,FULL_TIME,NONE,WEEKDAY,FULL_DAY,60.00
2172,2014-12-16,2014-11-04,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2172,2014-12-16,2014-11-04,ATRIUM,150.00, 3.00,450.00, 0.00,450.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,150.00
2172_Rev1,2014-12-16,2014-11-07,BROADWAY,225.00, 3.00,675.00, 0.00,675.00,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,225.00
2173,2014-11-08,2014-11-03,UPTOWN,60.00, 8.00,480.00, 0.10,432.00,FULL_TIME,unknown,WEEKEND,FULL_DAY,54.00
2174,2014-11-19,2014-10-29,UPTOWN,65.00, 2.50,162.50, 0.00,162.50,PART_TIME,NONE,WEEKDAY,PARTIAL_DAY,65.00
2175,2014-11-22,2014-11-10,UPTOWN,115.00, 3.00,345.00, 0.00,345.00,NON_MEMBER,NONE,WEEKEND,PARTIAL_DAY,115.00
2176,2014-12-13,2014-11-11,JINGLETOWN,189.00, 8.00,1512.00, 0.15,1285.20,NON_MEMBER,unknown,WEEKEND,FULL_DAY,160.65
2177,2014-12-14,2014-11-11,JINGLETOWN,189.00, 8.00,1512.00, 0.15,1285.20,NON_MEMBER,unknown,WEEKEND,FULL_DAY,160.65
2178,2015-03-21,2014-11-11,OMI,145.00, 5.00,725.00, 0.00,725.00,NON_MEMBER,NONE,WEEKEND,PARTIAL_DAY,145.00
2179,2015-04-18,2014-11-11,ATRIUM,225.00, 6.00,1350.00, 0.00,1350.00,NON_MEMBER,NONE,WEEKEND,FULL_DAY,225.00
2180,2015-01-17,2014-11-11,BROADWAY,255.00, 4.00,1020.00, 0.00,1020.00,PART_TIME,NONE,WEEKEND,FULL_DAY,255.00
2180,2015-01-17,2014-11-11,DOWNTOWN,75.00, 7.00,525.00, 1.00, 0.00,PART_TIME,NONE,WEEKEND,FULL_DAY, 0.00
2181,2014-11-12,2014-11-11,BROADWAY,180.00, 3.00,540.00, 0.93,37.80,FULL_TIME,FRIEND,WEEKDAY,PARTIAL_DAY,12.60
2182,2014-12-10,2014-11-06,BROADWAY,295.00, 3.00,885.00, 0.10,796.50,NON_MEMBER,MULTI_ROOM,WEEKDAY,PARTIAL_DAY,265.50
2182,2014-12-10,2014-11-06,ATRIUM,195.00, 3.00,585.00, 0.10,526.50,NON_MEMBER,MULTI_ROOM,WEEKDAY,PARTIAL_DAY,175.50
2183,2014-11-15,2014-11-19,BROADWAY,210.00, 3.50,735.00, 0.93,51.45,FULL_TIME,FRIEND,WEEKEND,FULL_DAY,14.70
2184,2014-12-08,2014-11-20,BROADWAY,295.00, 3.00,885.00, 0.50,442.50,NON_MEMBER,FOUNDER,WEEKDAY,PARTIAL_DAY,147.50
