invoice,DATE,# rooms,hours
2115 John Chiang,2014-08-27,1.0,3.5
2116 movement strategy center,2014-09-09,1.0,
2117 SELC,2014-11-18,1.0,5.5
2118 HiddenGenius,2014-09-23,1.0,6.0
2119 ImpactSocial_original,2014-09-15,1.0,4.5
2120 OneLifeInstitute,2015-01-22,1.0,5.5
2121 OakMetroChamberofCommerce,2014-09-16,1.0,7.0
2122 EBayRentalHousing_Member,2014-12-03,1.0,5.0
2122 EastBayRentalHousingAssoc,2014-12-03,1.0,5.0
2123 Peers,2014-10-11,1.0,4.0
2124 The Loop,2014-11-01,4.0,7.0
2125 OpenOak_LeaderRetreat,2014-09-07,1.0,7.0
2126 Amigos_Ambassador,2014-09-20,1.0,
2128 AlamedaCountyOfficeofEdu,9/20/14-9/21/14,1.0,18.0
2129 Women 2.0_2nd,2014-09-04,1.0,3.5
2130 ULI,2014-10-03,1.0,4.5
2131 Black Elected Officials,2014-09-24,1.0,
2134 HERA,2014-11-05,2.0,8.0
2135 BeyondCultureofSeparation,2014-11-05,1.0,7.0
2136 OCCUR,2014-10-22,1.0,5.0
2136 OCCUR_withAV,2014-10-22,1.0,4.5
2137 Bay Bucks,2014-10-24,1.0,
2137 Bay Bucks_Final,2014-10-24,1.0,
2138 Linda Curtis,2014-09-24,1.0,2.5
2138 Linda Curtis_Rev1,2014-09-24,1.0,2.5
2139 Feng Shui School_Oct,"Oct. 31, 2014",1.0,
2139 Feng Shui School_Oct,"Oct.10-Oct.12, 2014",1.0,
2140 Feng Shui School_Nov,"Nov. 1 - Nov. 2, 2014",1.0,
2140 Feng Shui School_Nov,"Nov. 21 - Nov. 23, 2014",1.0,
2141 Feng Shui School_Dec,"Dec. 12 - Dec.14, 2014",1.0,
2142 Feng Shui School_Jan,"Jan. 30 - Jan. 31, 2014",1.0,
2142 Feng Shui School_Jan,"Jan. 9 - Jan. 11, 2014",1.0,
2143 Feng Shui School_Feb,"Feb. 1, 2014",1.0,
2143 Feng Shui School_Feb,"Feb. 20 - Feb. 22, 2014",1.0,
2144 Feng Shui School_March,"March. 13 - March 15, 2014",1.0,
2145 Beyond the Culture_Sept,2014-09-29,1.0,
2146 Beyond the Culture_Oct,2014-10-06,1.0,
