invoice#,title,rate,date,description,hours,discount,subtotal,rate_wn,rate_ptm,rate_wd,rate_ftm,rate_nm,down,jingletown,up,atrium,broadway,omi,east_oak,west_oak,fdd,rcd,hdd,fd,pd,mrd
2184,One Warm Coat,Non Member Weekday Rate - Founder discount,2014-12-08,On Broadway,3,0.5,885,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False
2184,One Warm Coat,Non Member Weekday Rate - Founder discount,2014-12-08,Large Party Janitorial Fee,Flat Fee,,250,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2184,One Warm Coat,Non Member Weekday Rate - Founder discount,2014-12-08,Site Manager/Staffing,5,,200,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2184,One Warm Coat,Non Member Weekday Rate - Founder discount,2014-12-08,Set Up & Break Down,2,0.5,150,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2184,One Warm Coat,Non Member Weekday Rate - Founder discount,2014-12-08,Waste Removal Fee ,Flat Fee,,85,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2184,One Warm Coat,Non Member Weekday Rate - Founder discount,2014-12-08,Security,3,,90,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2052,Food Justice Without Displacement 5/3,,2014-05-03,Atrium,2.5,,393.75,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
2052,Food Justice Without Displacement 5/3,,2014-05-03,Set-up/Break-down ,2,,60,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,On Broadway,4.5,,1147.5,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,Large Party Janitorial Fee,Flat Fee,,500,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,Atrium,4.5,,810,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,Set Up & Break Down,3.5,0.2,262.5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,Waste Removal Fee ,Flat Fee,,75,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,East Oakland,8,0.25,440,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
115009-2,Oakland Warthogs Youth Rugby Program,Part Time Member Weekend Rate,2015-03-14,Site Manager,8,,280,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2200,Rebirth & Renewal 2015,Part Time Member Weekend Rate -- IHO Sponsorship,2015-01-10,Standard Janitorial Fee,Flat Fee,,250,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2200,Rebirth & Renewal 2015,Part Time Member Weekend Rate -- IHO Sponsorship,2015-01-10,On Broadway,7,0.86,1785,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,On Broadway,2,0.25,630,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,Large Party Janitorial Fee,Flat Fee,,500,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,Jingletown Lounge,2,0.25,300,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,OMI Gallery,2,1,230,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,Set Up & Break Down,2,,150,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,Atrium,2,0.25,390,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,Uptown,2,0.25,170,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False
2194,Community Report Out,Non Member Weekday Rate -- Partnership,2015-01-15,Site Manager,4,,120,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
2168,PPGBA Monthly Meeting,Part Time Member Weekday Rate,2014-11-20,Standard Janitorial Fee,Flat Fee,,150,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2168,PPGBA Monthly Meeting,Part Time Member Weekday Rate,2014-11-20,On Broadway,3,,675,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2168,PPGBA Monthly Meeting,Part Time Member Weekday Rate,2014-11-20,Set Up & Break Down,2,,100,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2175,ACOE Meeting,Non Member Weekend Rate - Multi Event Rental Discount,2014-11-22,Uptown,5,0.05,575,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2175,ACOE Meeting,Non Member Weekend Rate - Multi Event Rental Discount,2014-11-22,Weekend Staffing,2,,80,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2175,ACOE Meeting,Non Member Weekend Rate - Multi Event Rental Discount,2014-11-22,Janitorial Fee,Flat Fee,,150,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
415014-2,It's Time Oakland Connect,Part Time Member Weekday Rate,2015-04-15,OMI Gallery,2.5,,212.5,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
415014-2,It's Time Oakland Connect,Part Time Member Weekday Rate,2015-04-15,Downtown,3,,135,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
415014-2,It's Time Oakland Connect,Part Time Member Weekday Rate,2015-04-15,IHO Staffing,2,,60,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2032,A Snap Pea Soiree 4/11,,2014-04-11,A/V Staffing,4,,120,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
215007-2,Life is Loving Black Love Conversations,Part Time Member Weekend Rate - Founders Discount,2015-02-14,Site Manager/Staffing,5.5,,220,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
215007-2,Life is Loving Black Love Conversations,Part Time Member Weekend Rate - Founders Discount,2015-02-14,Standard Janitorial Fee,Flat Fee,,250,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
215007-2,Life is Loving Black Love Conversations,Part Time Member Weekend Rate - Founders Discount,2015-02-14,On Broadway,3,0.55,765,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False
215007-2,Life is Loving Black Love Conversations,Part Time Member Weekend Rate - Founders Discount,2015-02-14,Set Up & Break Down,2.5,,187.5,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2102,Future Of Energy Screening,Full Time Member Weekday Rate,2014-09-05,Green Room,5,,150,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2102,Future Of Energy Screening,Full Time Member Weekday Rate,2014-09-05,Large Party Cleaning Fee,Flat Fee,,500,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2102,Future Of Energy Screening,Full Time Member Weekday Rate,2014-09-05,On Broadway,5,,900,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2102,Future Of Energy Screening,Full Time Member Weekday Rate,2014-09-05,A/V Technician,6.5,,260,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2162,One Night Stand: Featuring Comedians with Disabilities Act 2,Part Time Member Weekday Rate,2014-10-30,Coffee Service ($12/thermos),3,,36,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2162,One Night Stand: Featuring Comedians with Disabilities Act 2,Part Time Member Weekday Rate,2014-10-30,On Broadway,3,,675,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
2162,One Night Stand: Featuring Comedians with Disabilities Act 2,Part Time Member Weekday Rate,2014-10-30,Set Up & Break Down,2,,100,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2162,One Night Stand: Featuring Comedians with Disabilities Act 2,Part Time Member Weekday Rate,2014-10-30,Large Party Janitorial Fee,Flat Fee,,400,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
