invoice,invoice_date,DATE,item_type,item,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership,discount_type,day_type,day_type2,day_dur
815003 Piedmont,2015-08-07,2015-11-14,SERVICE,JANITORIAL,300.0,1.0,300.0,0.0,300.0,PART-TIME,MULTIROOM,WEEKEND,weekend,
815003 Piedmont,2015-08-07,2015-11-14,ITEM_TOT,,,,2477.5,0.14530776992936423,2117.5,PART-TIME,MULTIROOM,WEEKEND,weekend,
815002 Occur Award Dinner,2015-08-07,2015-10-15,ROOM,BROADWAY,295.0,2.0,590.0,0.0,590.0,NON-MEMBER,RETURNING,WEEKDAY,weekday,
815002 Occur Award Dinner,2015-08-07,2015-10-15,SERVICE,SETUP_RESET,75.0,2.5,187.5,0.25,140.625,NON-MEMBER,RETURNING,WEEKDAY,weekday,
815002 Occur Award Dinner,2015-08-07,2015-10-15,SERVICE,STAFFING,40.0,4.5,180.0,0.0,180.0,NON-MEMBER,RETURNING,WEEKDAY,weekday,
815002 Occur Award Dinner,2015-08-07,2015-10-15,SERVICE,JANITORIAL,450.0,1.0,450.0,0.0,450.0,NON-MEMBER,RETURNING,WEEKDAY,weekday,
815002 Occur Award Dinner,2015-08-07,2015-10-15,SERVICE,A/V,40.0,4.0,160.0,0.0,160.0,NON-MEMBER,RETURNING,WEEKDAY,weekday,
815002 Occur Award Dinner,2015-08-07,2015-10-15,ITEM_TOT,,,,1567.5,0.029904306220095656,1520.625,NON-MEMBER,RETURNING,WEEKDAY,weekday,
715008-2 Ada Initiative,2015-08-07,2015-08-11,ROOM,BROADWAY,150.0,2.0,300.0,0.0,300.0,PART-TIME,NONE,WEEKDAY,weekday,
715008-2 Ada Initiative,2015-08-07,2015-08-11,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,PART-TIME,NONE,WEEKDAY,weekday,
715008-2 Ada Initiative,2015-08-07,2015-08-11,SERVICE,STAFFING,35.0,4.0,140.0,0.0,140.0,PART-TIME,NONE,WEEKDAY,weekday,
715008-2 Ada Initiative,2015-08-07,2015-08-11,SERVICE,JANITORIAL,150.0,1.0,150.0,0.0,150.0,PART-TIME,NONE,WEEKDAY,weekday,
715008-2 Ada Initiative,2015-08-07,2015-08-11,SERVICE,COMPOSTABLES,15.05,1.0,15.05,0.0,15.05,PART-TIME,NONE,WEEKDAY,weekday,
715008-2 Ada Initiative,2015-08-07,2015-08-11,ITEM_TOT,,,,705.05,0.0,705.05,PART-TIME,NONE,WEEKDAY,weekday,
815001 SELC Fall Celebration,2015-08-06,2015-11-19,ROOM,BROADWAY,180.0,2.5,450.0,0.0,450.0,FULL-TIME,NONE,WEEKDAY,weekday,
815001 SELC Fall Celebration,2015-08-06,2015-11-19,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,FULL-TIME,NONE,WEEKDAY,weekday,
815001 SELC Fall Celebration,2015-08-06,2015-11-19,SERVICE,STAFFING,40.0,4.5,180.0,0.0,180.0,FULL-TIME,NONE,WEEKDAY,weekday,
815001 SELC Fall Celebration,2015-08-06,2015-11-19,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,FULL-TIME,NONE,WEEKDAY,weekday,
815001 SELC Fall Celebration,2015-08-06,2015-11-19,ITEM_TOT,,,,980.0,0.0,980.0,FULL-TIME,NONE,WEEKDAY,weekday,
515005 PAID Mills College,2015-08-06,2015-06-03,ROOM,ATRIUM,150.0,2.0,300.0,0.0,300.0,PART-TIME,NONE,WEEKDAY,weekday,
515005 PAID Mills College,2015-08-06,2015-06-03,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,PART-TIME,NONE,WEEKDAY,weekday,
515005 PAID Mills College,2015-08-06,2015-06-03,SERVICE,STAFFING,40.0,4.0,160.0,0.0,160.0,PART-TIME,NONE,WEEKDAY,weekday,
515005 PAID Mills College,2015-08-06,2015-06-03,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,PART-TIME,NONE,WEEKDAY,weekday,
515005 PAID Mills College,2015-08-06,2015-06-03,ITEM_TOT,,,,860.0,0.0,860.0,PART-TIME,NONE,WEEKDAY,weekday,
715013-2 Dinner Lab,2015-08-04,2015-08-08,ROOM,BROADWAY,315.0,3.0,945.0,0.0,945.0,NON-MEMBER,NONE,WEEKEND,weekend,
715013-2 Dinner Lab,2015-08-04,2015-08-08,SERVICE,SETUP_RESET,75.0,4.5,337.5,0.0,337.5,NON-MEMBER,NONE,WEEKEND,weekend,
715013-2 Dinner Lab,2015-08-04,2015-08-08,SERVICE,STAFFING,30.0,7.5,225.0,0.0,225.0,NON-MEMBER,NONE,WEEKEND,weekend,
715013-2 Dinner Lab,2015-08-04,2015-08-08,SERVICE,JANITORIAL,200.0,1.0,200.0,0.0,200.0,NON-MEMBER,NONE,WEEKEND,weekend,
715013-2 Dinner Lab,2015-08-04,2015-08-08,ITEM_TOT,,,,1707.5,0.0,1707.5,NON-MEMBER,NONE,WEEKEND,weekend,
715004-2 PAID_BART ,2015-08-03,2015-07-27,ROOM,OMI,115.0,2.0,230.0,0.35,149.5,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 PAID_BART ,2015-08-03,2015-07-27,SERVICE,SETUP_RESET,50.0,1.0,50.0,1.0,0.0,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 PAID_BART ,2015-08-03,2015-07-27,SERVICE,STAFFING,35.0,3.0,105.0,0.0,105.0,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
715004-2 PAID_BART ,2015-08-03,2015-07-27,SERVICE,JANITORIAL,100.0,1.0,100.0,0.0,100.0,NON-MEMBER,FOUNDER,WEEKDAY,weekday,
