invoice,invoice_date,DATE,item_type,item,AMOUNT,HOURS_UNITS,SUBTOTAL,DISCOUNT,TOTAL,membership,discount_type,day_type,day_type2,day_dur
512003 Facebook HR,2015-05-12,2015-06-09,ROOM,ATRIUM,195.0,3.0,585.0,0.15,497.25,N/S,MULTIROOM,WEEKDAY,weekday,
512003 Facebook HR,2015-05-12,2015-06-09,ROOM,OMI,115.0,3.0,345.0,0.15,293.25,N/S,MULTIROOM,WEEKDAY,weekday,
512003 Facebook HR,2015-05-12,2015-06-09,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,N/S,MULTIROOM,WEEKDAY,weekday,
512003 Facebook HR,2015-05-12,2015-06-09,SERVICE,STAFFING,40.0,5.0,200.0,0.0,200.0,N/S,MULTIROOM,WEEKDAY,weekday,
512003 Facebook HR,2015-05-12,2015-06-09,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,N/S,MULTIROOM,WEEKDAY,weekday,
512003 Facebook HR,2015-05-12,2015-06-09,ITEM_TOT,,,,1530.0,0.0911764705882353,1390.5,N/S,MULTIROOM,WEEKDAY,weekday,
415013-2 Beneficial State FDN,2015-05-12,2015-04-15,ROOM,DOWNTOWN,45.0,4.0,180.0,1.0,0.0,PART-TIME,N/S,WEEKDAY,weekday,
415013-2 Beneficial State FDN,2015-05-12,2015-04-15,ITEM_TOT,,,,180.0,,0.0,PART-TIME,NONE,WEEKDAY,weekday,
415001-2 Agents of Change ,2015-05-12,2015-06-18,OTHER,Cancellation Fee,50.0,1.0,50.0,0.0,50.0,FULL-TIME,PARTNER,WEEKDAY,weekday,
415001-2 Agents of Change ,2015-05-12,2015-06-18,ITEM_TOT,,,,50.0,0.0,50.0,FULL-TIME,PARTNER,WEEKDAY,weekday,
215015-3 Oakland Institute ,2015-05-07,2015-04-24,SERVICE,COMPOSTABLES,15.05,,15.0,0.0,15.0,NON-MEMBER,NONE,WEEKEND,weekday,
215015-3 Oakland Institute ,2015-05-07,2015-04-24,ITEM_TOT,,,,15.0,0.0,15.0,NON-MEMBER,NONE,WEEKEND,weekday,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,ROOM,BROADWAY,225.0,2.0,450.0,0.0,450.0,PART-TIME,NONE,WEEKEND,weekend,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,SERVICE,SETUP_RESET,50.0,2.5,125.0,0.0,125.0,PART-TIME,NONE,WEEKEND,weekend,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,SERVICE,STAFFING,40.0,4.5,180.0,0.0,180.0,PART-TIME,NONE,WEEKEND,weekend,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,SERVICE,A/V,40.0,5.0,200.0,0.0,200.0,PART-TIME,NONE,WEEKEND,weekend,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,PART-TIME,NONE,WEEKEND,weekend,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,SERVICE,COMPOSTABLES,66.49,1.0,66.49,0.0,66.49,PART-TIME,NONE,WEEKEND,weekend,
415017-2 Loudspeaker Films ,2015-05-06,2015-05-09,ITEM_TOT,,,,1271.49,0.0,1271.49,PART-TIME,NONE,WEEKEND,weekend,
515002 Racial Equitecture,2015-05-05,2015-05-27,ROOM,OMI,60.0,3.5,210.0,0.0,210.0,FULL-TIME,NONE,WEEKDAY,weekday,
515002 Racial Equitecture,2015-05-05,2015-06-03,ROOM,OMI,60.0,3.5,210.0,0.0,210.0,FULL-TIME,NONE,WEEKDAY,weekday,
515002 Racial Equitecture,2015-05-05,2015-06-10,ROOM,OMI,60.0,3.5,210.0,0.0,210.0,FULL-TIME,NONE,WEEKDAY,weekday,
515002 Racial Equitecture,2015-05-05,2015-06-17,ROOM,OMI,60.0,3.5,210.0,0.0,210.0,FULL-TIME,NONE,WEEKDAY,weekday,
515002 Racial Equitecture,2015-05-05,2015-06-24,ROOM,OMI,60.0,3.5,210.0,0.0,210.0,FULL-TIME,NONE,WEEKDAY,weekday,
515002 Racial Equitecture,2015-05-05,2015-06-24,ITEM_TOT,,,,1050.0,0.0,1050.0,FULL-TIME,NONE,WEEKDAY,weekday,
515001 HipHopForChange,2015-05-01,2015-07-04,ROOM,BROADWAY,180.0,7.5,1350.0,0.15,1147.5,FULL-TIME,N/S,WEEKEND,weekend,
515001 HipHopForChange,2015-05-01,2015-07-04,SERVICE,SETUP_RESET,75.0,2.5,187.5,0.0,187.5,FULL-TIME,NONE,WEEKEND,weekend,
515001 HipHopForChange,2015-05-01,2015-07-04,SERVICE,STAFFING,50.0,8.0,400.0,0.0,400.0,FULL-TIME,NONE,WEEKEND,weekend,
515001 HipHopForChange,2015-05-01,2015-07-04,SERVICE,JANITORIAL,300.0,1.0,300.0,0.0,300.0,FULL-TIME,NONE,WEEKEND,weekend,
515001 HipHopForChange,2015-05-01,2015-07-04,SERVICE,A/V,40.0,9.0,360.0,0.0,360.0,FULL-TIME,NONE,WEEKEND,weekend,
515001 HipHopForChange,2015-05-01,2015-07-04,ITEM_TOT,,,,2597.5,0.0779595765158807,2395.0,FULL-TIME,N/S,WEEKEND,weekend,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,ROOM,BROADWAY,295.0,2.0,590.0,0.0,590.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,ROOM,MERIDIAN,95.0,3.0,285.0,0.0,285.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,ROOM,MEDITATION,15.0,5.0,75.0,0.0,75.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,SERVICE,SETUP_RESET,75.0,4.5,337.5,0.0,337.5,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,SERVICE,STAFFING,35.0,4.0,140.0,0.0,140.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,SERVICE,JANITORIAL,300.0,1.0,300.0,0.0,300.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,SERVICE,A/V,40.0,6.0,240.0,0.0,240.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415019 HERA 10th Anniversary,2015-04-29,2015-09-24,ITEM_TOT,,,,1967.5,0.0,1967.5,NON-MEMBER,NONE,WEEKDAY,weekday,
315012-2 LaunchPad Africa,2015-04-29,2015-05-16,ROOM,BROADWAY,255.0,4.0,1020.0,0.0,1020.0,PART-TIME,NONE,WEEKEND,weekend,
315012-2 LaunchPad Africa,2015-04-29,2015-05-16,SERVICE,SETUP_RESET,50.0,2.5,125.0,0.0,125.0,PART-TIME,NONE,WEEKEND,weekend,
315012-2 LaunchPad Africa,2015-04-29,2015-05-16,SERVICE,STAFFING,40.0,6.5,260.0,0.0,260.0,PART-TIME,NONE,WEEKEND,weekend,
315012-2 LaunchPad Africa,2015-04-29,2015-05-16,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,PART-TIME,NONE,WEEKEND,weekend,
315012-2 LaunchPad Africa,2015-04-29,2015-05-16,SERVICE,A/V,40.0,2.0,80.0,0.0,80.0,PART-TIME,NONE,WEEKEND,weekend,
315012-2 LaunchPad Africa,2015-04-29,2015-05-16,ITEM_TOT,,,,1735.0,0.0,1735.0,PART-TIME,NONE,WEEKEND,weekend,
415018 Worksafe,2015-04-28,2015-05-21,ROOM,BROADWAY,295.0,2.0,590.0,0.0,590.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415018 Worksafe,2015-04-28,2015-05-21,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415018 Worksafe,2015-04-28,2015-05-21,SERVICE,STAFFING,40.0,4.0,160.0,0.0,160.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415018 Worksafe,2015-04-28,2015-05-21,SERVICE,JANITORIAL,300.0,1.0,300.0,0.0,300.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415018 Worksafe,2015-04-28,2015-05-21,SERVICE,A/V,40.0,3.5,140.0,0.0,140.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415018 Worksafe,2015-04-28,2015-05-21,ITEM_TOT,,,,1290.0,0.0,1290.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415017 Loudspeaker Films,2015-04-28,2015-05-09,ROOM,BROADWAY,225.0,2.0,450.0,0.0,450.0,PART-TIME,NONE,WEEKEND,weekend,
415017 Loudspeaker Films,2015-04-28,2015-05-09,SERVICE,SETUP_RESET,50.0,2.5,125.0,0.0,125.0,PART-TIME,NONE,WEEKEND,weekend,
415017 Loudspeaker Films,2015-04-28,2015-05-09,SERVICE,STAFFING,40.0,4.5,180.0,0.0,180.0,PART-TIME,NONE,WEEKEND,weekend,
415017 Loudspeaker Films,2015-04-28,2015-05-09,SERVICE,A/V,40.0,2.0,80.0,0.0,80.0,PART-TIME,NONE,WEEKEND,weekend,
415017 Loudspeaker Films,2015-04-28,2015-05-09,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,PART-TIME,NONE,WEEKEND,weekend,
415017 Loudspeaker Films,2015-04-28,2015-05-09,SERVICE,COMPOSTABLES,66.49,1.0,66.49,0.0,66.49,PART-TIME,NONE,WEEKEND,weekend,
415017 Loudspeaker Films,2015-04-28,2015-05-09,ITEM_TOT,,,,1151.49,0.0,1151.49,PART-TIME,NONE,WEEKEND,weekend,
315008-2 Kapor Center,2015-04-28,2015-05-02,ROOM,BROADWAY,210.0,7.0,1470.0,0.15,1249.5,FULL-TIME,N/S,WEEKEND,weekend,FULL
315008-2 Kapor Center,2015-04-28,2015-05-02,ROOM,JINGLETOWN,105.0,3.0,315.0,0.15,267.75,FULL-TIME,N/S,WEEKEND,weekend,FULL
315008-2 Kapor Center,2015-04-28,2015-05-02,ROOM,UPTOWN,60.0,3.0,180.0,0.15,153.0,FULL-TIME,N/S,WEEKEND,weekend,FULL
315008-2 Kapor Center,2015-04-28,2015-05-02,SERVICE,SETUP_RESET,75.0,3.0,225.0,0.0,225.0,FULL-TIME,NONE,WEEKEND,weekend,FULL
315008-2 Kapor Center,2015-04-28,2015-05-02,SERVICE,STAFFING,40.0,10.0,400.0,0.0,400.0,FULL-TIME,NONE,WEEKEND,weekend,FULL
315008-2 Kapor Center,2015-04-28,2015-05-02,SERVICE,JANITORIAL,500.0,1.0,500.0,0.0,500.0,FULL-TIME,NONE,WEEKEND,weekend,FULL
315008-2 Kapor Center,2015-04-28,2015-05-02,ITEM_TOT,,,,3090.0,0.0953883495145631,2795.25,FULL-TIME,N/S,WEEKEND,weekend,FULL
415016 FVLC Be Brave,2015-04-27,2015-09-18,ROOM,BROADWAY,255.0,4.0,1020.0,0.0,1020.0,PART-TIME,NONE,WEEKEND,weekday,
415016 FVLC Be Brave,2015-04-27,2015-09-18,SERVICE,SETUP_RESET,50.0,3.0,150.0,0.0,150.0,PART-TIME,NONE,WEEKEND,weekday,
415016 FVLC Be Brave,2015-04-27,2015-09-18,SERVICE,STAFFING,40.0,7.0,280.0,0.0,280.0,PART-TIME,NONE,WEEKEND,weekday,
415016 FVLC Be Brave,2015-04-27,2015-09-18,SERVICE,JANITORIAL,300.0,1.0,300.0,0.0,300.0,PART-TIME,NONE,WEEKEND,weekday,
415016 FVLC Be Brave,2015-04-27,2015-09-18,ITEM_TOT,,,,1750.0,0.0,1750.0,PART-TIME,NONE,WEEKEND,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,ROOM,BROADWAY,225.0,2.5,562.5,0.1,506.25,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,ROOM,ATRIUM,150.0,2.5,375.0,0.1,337.5,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,ROOM,JINGLETOWN,115.0,2.5,287.5,0.1,258.75,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,ROOM,OMI,85.0,5.0,425.0,0.1,382.5,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,ROOM,EAST_OAK,25.0,7.0,175.0,0.1,157.5,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,SERVICE,SETUP_RESET,75.0,4.0,300.0,0.0,300.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,SERVICE,STAFFING,35.0,6.5,227.5,0.0,227.5,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,SERVICE,JANITORIAL,500.0,1.0,500.0,0.0,500.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,SERVICE,JANITORIAL,100.0,1.0,100.0,0.0,100.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,SERVICE,A/V,40.0,4.5,180.0,0.0,180.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
115005-4 Friends of Parks&R ,2015-04-27,2015-05-07,ITEM_TOT,,,,3132.5,0.058260175578611295,2950.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415015 Sound of Torture,2015-04-24,2015-05-05,ROOM,BROADWAY,225.0,3.0,675.0,1.0,0.0,PART-TIME,PARTNER,WEEKDAY,weekday,
415015 Sound of Torture,2015-04-24,2015-05-05,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.2,120.0,PART-TIME,PARTNER,WEEKDAY,weekday,
415015 Sound of Torture,2015-04-24,2015-05-05,SERVICE,STAFFING,40.0,5.0,200.0,0.0,200.0,PART-TIME,PARTNER,WEEKDAY,weekday,
415015 Sound of Torture,2015-04-24,2015-05-05,SERVICE,A/V,40.0,4.5,180.0,0.0,180.0,PART-TIME,PARTNER,WEEKDAY,weekday,
415015 Sound of Torture,2015-04-24,2015-05-05,ITEM_TOT,,,,1205.0,0.5850622406639003,500.0,PART-TIME,PARTNER,WEEKDAY,weekday,
2199-2 Redwood Day School,2015-04-22,2015-04-25,ROOM,BROADWAY,315.0,4.5,1417.5,0.1,1275.75,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,ROOM,ATRIUM,225.0,4.5,1012.5,0.1,911.25,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,ROOM,JINGLETOWN,180.0,4.5,810.0,0.1,729.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,ROOM,EAST_OAK,65.0,5.5,357.5,0.1,321.75,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,SERVICE,SETUP_RESET,100.0,2.0,200.0,0.0,200.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,SERVICE,STAFFING,30.0,2.0,60.0,0.0,60.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,SERVICE,SETUP_RESET,75.0,5.0,375.0,0.0,375.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,SERVICE,JANITORIAL,500.0,1.0,500.0,0.0,500.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,SERVICE,A/V,40.0,8.0,320.0,0.0,320.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,SERVICE,A/V,30.0,1.0,30.0,0.0,30.0,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
2199-2 Redwood Day School,2015-04-22,2015-04-25,ITEM_TOT,,,,5082.5,0.07078209542547964,4722.75,NON-MEMBER,MULTIROOM,WEEKEND,weekend,
415014-3 CJ Callen,2015-04-21,2015-04-15,ROOM,OMI,85.0,2.5,212.5,0.0,212.5,PART-TIME,NONE,WEEKDAY,weekday,
415014-3 CJ Callen,2015-04-21,2015-04-15,ROOM,DOWNTOWN,45.0,4.0,180.0,0.0,180.0,PART-TIME,NONE,WEEKDAY,weekday,
415014-3 CJ Callen,2015-04-21,2015-04-15,SERVICE,STAFFING,30.0,2.0,60.0,0.0,60.0,PART-TIME,NONE,WEEKDAY,weekday,
415014-3 CJ Callen,2015-04-21,2015-04-15,ITEM_TOT,,,,452.5,0.0,452.5,PART-TIME,NONE,WEEKDAY,weekday,
415014-2 CJ Callen,2015-04-21,2015-04-15,ROOM,OMI,85.0,2.5,212.5,0.0,212.5,PART-TIME,NONE,WEEKDAY,weekday,
415014-2 CJ Callen,2015-04-21,2015-04-15,ROOM,DOWNTOWN,45.0,3.0,135.0,0.0,135.0,PART-TIME,NONE,WEEKDAY,weekday,
415014-2 CJ Callen,2015-04-21,2015-04-15,SERVICE,STAFFING,30.0,2.0,60.0,0.0,60.0,PART-TIME,NONE,WEEKDAY,weekday,
415014-2 CJ Callen,2015-04-21,2015-04-15,ITEM_TOT,,,,407.5,0.0,407.5,PART-TIME,NONE,WEEKDAY,weekday,
415014 CJ Callen,2015-04-21,2015-04-15,ROOM,OMI,85.0,2.5,212.5,0.0,212.5,PART-TIME,NONE,WEEKDAY,weekday,
415014 CJ Callen,2015-04-21,2015-04-15,ROOM,DOWNTOWN,45.0,4.0,180.0,0.0,180.0,PART-TIME,NONE,WEEKDAY,weekday,
415014 CJ Callen,2015-04-21,2015-04-15,ITEM_TOT,,,,392.5,0.0,392.5,PART-TIME,NONE,WEEKDAY,weekday,
415013 Beneficial State FDN,2015-04-20,2015-04-15,ROOM,DOWNTOWN,45.0,4.0,180.0,0.0,180.0,PART-TIME,NONE,WEEKDAY,weekday,
415013 Beneficial State FDN,2015-04-20,2015-04-15,ITEM_TOT,,,,180.0,0.0,180.0,PART-TIME,NONE,WEEKDAY,weekday,
415012 Uptima 2.Oakland Demo,2015-04-16,2015-05-20,ROOM,ATRIUM,110.0,2.5,275.0,0.0,275.0,FULL-TIME,NONE,WEEKDAY,weekday,
415012 Uptima 2.Oakland Demo,2015-04-16,2015-05-20,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,FULL-TIME,NONE,WEEKDAY,weekday,
415012 Uptima 2.Oakland Demo,2015-04-16,2015-05-20,SERVICE,STAFFING,40.0,5.5,220.0,0.0,220.0,FULL-TIME,NONE,WEEKDAY,weekday,
415012 Uptima 2.Oakland Demo,2015-04-16,2015-05-20,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,FULL-TIME,NONE,WEEKDAY,weekday,
415012 Uptima 2.Oakland Demo,2015-04-16,2015-05-20,ITEM_TOT,,,,845.0,0.0,845.0,FULL-TIME,NONE,WEEKDAY,weekday,
415011 Ten Directions,2015-04-16,2015-04-24,ROOM,ATRIUM,225.0,2.5,562.5,1.0,0.0,NON-MEMBER,FOUNDER,WEEKEND,weekday,
415011 Ten Directions,2015-04-16,2015-04-24,ROOM,OMI,60.0,5.0,300.0,0.0,300.0,NON-MEMBER,FOUNDER,WEEKEND,weekday,
415011 Ten Directions,2015-04-16,2015-04-24,SERVICE,SETUP_RESET,80.0,4.0,320.0,0.0,320.0,NON-MEMBER,FOUNDER,WEEKEND,weekday,
415011 Ten Directions,2015-04-16,2015-04-24,SERVICE,STAFFING,45.0,4.0,180.0,0.0,180.0,NON-MEMBER,FOUNDER,WEEKEND,weekday,
415011 Ten Directions,2015-04-16,2015-04-24,SERVICE,DRINKS,25.0,3.0,75.0,0.0,75.0,NON-MEMBER,FOUNDER,WEEKEND,weekday,
415011 Ten Directions,2015-04-16,2015-04-24,ITEM_TOT,,,,1437.5,0.3913043478260869,875.0,NON-MEMBER,FOUNDER,WEEKEND,weekday,
315011-2 Cleantech Open paid,2015-04-16,2015-04-21,ROOM,BROADWAY,295.0,3.0,885.0,0.8,176.99999999999997,NON-MEMBER,N/S,WEEKDAY,weekday,
315011-2 Cleantech Open paid,2015-04-16,2015-04-21,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,NON-MEMBER,NONE,WEEKDAY,weekday,
315011-2 Cleantech Open paid,2015-04-16,2015-04-21,SERVICE,STAFFING,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,NONE,WEEKDAY,weekday,
315011-2 Cleantech Open paid,2015-04-16,2015-04-21,SERVICE,DRINKS,12.0,2.0,24.0,0.0,24.0,NON-MEMBER,NONE,WEEKDAY,weekday,
315011-2 Cleantech Open paid,2015-04-16,2015-04-21,ITEM_TOT,,,,1259.0,0.562351072279587,551.0,NON-MEMBER,N/S,WEEKDAY,weekday,
315011-2 Cleantech Open,2015-04-16,2015-04-21,ROOM,BROADWAY,295.0,3.0,885.0,0.8,176.99999999999997,NON-MEMBER,N/S,WEEKDAY,weekday,
315011-2 Cleantech Open,2015-04-16,2015-04-21,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,NON-MEMBER,NONE,WEEKDAY,weekday,
315011-2 Cleantech Open,2015-04-16,2015-04-21,SERVICE,STAFFING,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,NONE,WEEKDAY,weekday,
315011-2 Cleantech Open,2015-04-16,2015-04-21,SERVICE,DRINKS,12.0,2.0,24.0,0.0,24.0,NON-MEMBER,NONE,WEEKDAY,weekday,
315011-2 Cleantech Open,2015-04-16,2015-04-21,ITEM_TOT,,,,1259.0,0.562351072279587,551.0,NON-MEMBER,N/S,WEEKDAY,weekday,
415010 LNArt Old Navy,2015-04-10,2015-02-24,ROOM,BROADWAY,295.0,2.0,590.0,0.0,590.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415010 LNArt Old Navy,2015-04-10,2015-02-24,SERVICE,SETUP_RESET,75.0,3.0,225.0,0.0,225.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415010 LNArt Old Navy,2015-04-10,2015-02-24,SERVICE,STAFFING,40.0,5.0,200.0,0.0,200.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415010 LNArt Old Navy,2015-04-10,2015-02-24,SERVICE,JANITORIAL,350.0,1.0,350.0,0.0,350.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415010 LNArt Old Navy,2015-04-10,2015-02-24,ITEM_TOT,,,,1365.0,0.0,1365.0,NON-MEMBER,NONE,WEEKDAY,weekday,
415009 Black Folks House,2015-04-10,2015-04-18,ROOM,OMI,90.0,4.0,360.0,0.0,360.0,PART-TIME,FOUNDER,WEEKEND,weekend,
415009 Black Folks House,2015-04-10,2015-04-18,SERVICE,JANITORIAL,50.0,1.0,50.0,1.0,0.0,PART-TIME,FOUNDER,WEEKEND,weekend,
415009 Black Folks House,2015-04-10,2015-04-18,ITEM_TOT,,,,410.0,0.12195121951219512,360.0,PART-TIME,FOUNDER,WEEKEND,weekend,
415007 Tradeswomen,2015-04-07,2015-09-25,ROOM,BROADWAY,295.0,3.0,885.0,0.15,752.25,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,ROOM,ATRIUM,180.0,3.0,540.0,0.15,459.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,SERVICE,SETUP_RESET,50.0,4.0,200.0,0.0,200.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,SERVICE,STAFFING,40.0,7.0,280.0,0.0,280.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,SERVICE,JANITORIAL,350.0,1.0,350.0,0.0,350.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,SERVICE,A/V,40.0,5.0,200.0,0.0,200.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,OTHER,Early Closing Fee,75.0,1.0,75.0,0.0,75.0,PART-TIME,MULTIROOM,WEEKDAY,weekday,
415007 Tradeswomen,2015-04-07,2015-09-25,ITEM_TOT,,,,2530.0,0.08448616600790515,2316.25,PART-TIME,MULTIROOM,WEEKDAY,weekday,
315007-2 Friends of the Earth ,2015-04-07,2015-04-14,ROOM,BROADWAY,225.0,2.0,450.0,0.0,450.0,PART-TIME,NONE,WEEKDAY,weekday,
315007-2 Friends of the Earth ,2015-04-07,2015-04-14,SERVICE,SETUP_RESET,75.0,2.0,150.0,0.0,150.0,PART-TIME,NONE,WEEKDAY,weekday,
315007-2 Friends of the Earth ,2015-04-07,2015-04-14,SERVICE,STAFFING,40.0,4.0,160.0,0.0,160.0,PART-TIME,NONE,WEEKDAY,weekday,
315007-2 Friends of the Earth ,2015-04-07,2015-04-14,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,PART-TIME,NONE,WEEKDAY,weekday,
315007-2 Friends of the Earth ,2015-04-07,2015-04-14,ITEM_TOT,,,,1010.0,0.0,1010.0,PART-TIME,NONE,WEEKDAY,weekday,
415006 CSS Member,2015-04-06,2015-06-04,ROOM,ATRIUM,150.0,2.0,300.0,0.0,300.0,PART-TIME,NONE,WEEKDAY,weekday,
415006 CSS Member,2015-04-06,2015-06-04,SERVICE,SETUP_RESET,50.0,2.0,100.0,0.0,100.0,PART-TIME,NONE,WEEKDAY,weekday,
415006 CSS Member,2015-04-06,2015-06-04,SERVICE,STAFFING,40.0,4.0,160.0,0.0,160.0,PART-TIME,NONE,WEEKDAY,weekday,
415006 CSS Member,2015-04-06,2015-06-04,SERVICE,JANITORIAL,200.0,1.0,200.0,0.0,200.0,PART-TIME,NONE,WEEKDAY,weekday,
415006 CSS Member,2015-04-06,2015-06-04,SERVICE,JANITORIAL,50.0,1.0,50.0,1.0,50.0,PART-TIME,N/S,WEEKDAY,weekday,
415006 CSS Member,2015-04-06,2015-06-04,ITEM_TOT,,,,810.0,0.0,810.0,PART-TIME,NONE,WEEKDAY,weekday,
315005-2 LNA_MidLifeCelebration,2015-04-01,2015-04-04,ROOM,BROADWAY,210.0,3.5,735.0,0.93,51.44999999999997,FULL-TIME,PARTNER,WEEKEND,weekend,
315005-2 LNA_MidLifeCelebration,2015-04-01,2015-04-04,SERVICE,SETUP_RESET,75.0,4.0,300.0,1.0,0.0,FULL-TIME,PARTNER,WEEKEND,weekend,
315005-2 LNA_MidLifeCelebration,2015-04-01,2015-04-04,SERVICE,JANITORIAL,250.0,1.0,250.0,0.0,250.0,FULL-TIME,PARTNER,WEEKEND,weekend,
315005-2 LNA_MidLifeCelebration,2015-04-01,2015-04-04,SERVICE,STAFFING,35.0,3.0,105.0,0.0,105.0,FULL-TIME,PARTNER,WEEKEND,weekend,
315005-2 LNA_MidLifeCelebration,2015-04-01,2015-04-04,SERVICE,JANITORIAL,85.0,1.0,85.0,1.0,0.0,FULL-TIME,PARTNER,WEEKEND,weekend,
315005-2 LNA_MidLifeCelebration,2015-04-01,2015-04-04,ITEM_TOT,,,,1475.0,0.7244406779661017,406.45,FULL-TIME,PARTNER,WEEKEND,weekend,
