sheet,DATE,DESCRIPTION,AMOUNT,HOURS/UNITS,SUBTOTAL,DISCOUNT,TOTAL,rate
2111 HACK THE HOOD GRAD,2014-08-14,Total,,,710.0,,501.2,Full Time Member Weekday Rate
315009 Hack The Hood,2015-04-23,On Broadway,180.0,2.5,450.0,,450.0,Full Time Member Weeday Rate
315009 Hack The Hood,2015-04-23,Set Up & Reset,75.0,2.0,150.0,,150.0,Full Time Member Weeday Rate
315009 Hack The Hood,2015-04-23,IHO Staffing,40.0,4.5,180.0,,180.0,Full Time Member Weeday Rate
315009 Hack The Hood,2015-04-23,Janitorial/Waste Removal Fee,350.0,1.0,350.0,,350.0,Full Time Member Weeday Rate
315009 Hack The Hood,2015-04-23,A/V Sound Technician,40.0,4.0,160.0,,160.0,Full Time Member Weeday Rate
315009 Hack The Hood,2015-04-23,Total,,,1290.0,,1290.0,Full Time Member Weeday Rate
215007 Life is Loving,2015-02-14,On Broadway,255.0,3.0,765.0,,765.0,Part Time Member Weekend Rate
215007 Life is Loving,2015-02-14,Set Up & Break Down,75.0,2.5,187.5,,187.5,Part Time Member Weekend Rate
215007 Life is Loving,2015-02-14,Site Manager/Staffing,40.0,5.5,220.0,,220.0,Part Time Member Weekend Rate
215007 Life is Loving,2015-02-14,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Part Time Member Weekend Rate
215007 Life is Loving,2015-02-14,Total,,,1422.5,,1422.5,Part Time Member Weekend Rate
2056 VIN12 Spring_Revised,2014-05-10,On Broadway,275.0,3.0,825.0,,825.0,
2056 VIN12 Spring_Revised,2014-05-10,Atrium,130.0,3.0,390.0,,390.0,
2056 VIN12 Spring_Revised,2014-05-10,Large Party Cleaning Fee,500.0,1.0,500.0,,500.0,
2056 VIN12 Spring_Revised,2014-05-10,Set Up & Break Down,25.0,2.5,62.5,,62.5,
2056 VIN12 Spring_Revised,2014-05-10,Total,,,,,1777.5,
2152 Bootcamp_BusinessInn_pt2,2014-09-24,On Broadway,140.0,2.0,280.0,,280.0,
2152 Bootcamp_BusinessInn_pt2,2014-09-24,Set up / Break Down,50.0,1.0,50.0,,50.0,
2152 Bootcamp_BusinessInn_pt2,2014-09-24,Total,,,,,330.0,
2103 MightyBell,2014-08-04,On Broadway,295.0,3.0,885.0,,885.0,Non Member Weekday Rate
2103 MightyBell,2014-08-04,Set Up & Break Down,50.0,2.0,100.0,,100.0,Non Member Weekday Rate
2103 MightyBell,2014-08-04,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Non Member Weekday Rate
2103 MightyBell,2014-08-04,Total,,,,,1235.0,Non Member Weekday Rate
415004-2 Amigos Interview Day,2015-04-11,Uptown,70.0,6.5,455.0,0.2,364.0,Full Time Member Weekend Rate - Full Day Discount
415004-2 Amigos Interview Day,2015-04-11,Conference Room Janitorial Fee,100.0,1.0,100.0,,100.0,Full Time Member Weekend Rate - Full Day Discount
415004-2 Amigos Interview Day,2015-04-11,Total,,,555.0,,464.0,Full Time Member Weekend Rate - Full Day Discount
2049 BACC III,2014-06-18,Atrium,110.0,2.5,275.0,,275.0,
2049 BACC III,2014-06-18,Set up / Break Down,35.0,1.5,52.5,,52.5,
2049 BACC III,2014-06-18,Standard Cleaning Fee,150.0,,,,,
2049 BACC III,2014-06-18,Large Party Cleaning Fee,300.0,,,,0.0,
2049 BACC III,2014-06-18,A/V Technician,40.0,,,,0.0,
2049 BACC III,2014-06-18,Total,,,,,327.5,
2163 Kaiser Emergency Dept,2014-12-06,On Broadway,255.0,5.0,1275.0,,1275.0,Part Time Member Weekend Rate
2163 Kaiser Emergency Dept,2014-12-06,Set Up & Break Down,75.0,2.5,187.5,,187.5,Part Time Member Weekend Rate
2163 Kaiser Emergency Dept,2014-12-06,Large Party Janitorial Fee,350.0,1.0,350.0,,350.0,Part Time Member Weekend Rate
2163 Kaiser Emergency Dept,2014-12-06,Total,,,1812.5,,1812.5,Part Time Member Weekend Rate
2086 OBDC,2014-07-15,Meridian,0.0,3.0,0.0,1.0,0.0,Fulltime member Weekday Rate
2086 OBDC,2014-07-15,Set Up & Clean Up,30.0,1.0,30.0,,30.0,Fulltime member Weekday Rate
2086 OBDC,2014-07-15,Total,,,,,30.0,Fulltime member Weekday Rate
2130 ULI,2014-10-03,Atrium,110.0,1.5,165.0,,165.0,Full Time Weekday Rate
2130 ULI,2014-10-03,Early Set Up Fee,75.0,1.0,75.0,,75.0,Full Time Weekday Rate
2130 ULI,2014-10-03,Set Up & Break Down,50.0,2.0,100.0,,100.0,Full Time Weekday Rate
2130 ULI,2014-10-03,Standard Janitorial Fee,100.0,1.0,100.0,,100.0,Full Time Weekday Rate
2130 ULI,2014-10-03,Total,,,440.0,,440.0,Full Time Weekday Rate
215004 Design Thinking,2015-02-12,Atrium,110.0,2.0,220.0,0.15,187.0,Full Time Member Weekday Rate
215004 Design Thinking,2015-02-12,Set Up & Break Down,75.0,2.0,150.0,,150.0,Full Time Member Weekday Rate
215004 Design Thinking,2015-02-12,IHO Staffing,40.0,4.0,160.0,,160.0,Full Time Member Weekday Rate
215004 Design Thinking,2015-02-12,Standard Janitorial Fee,250.0,1.0,250.0,1.0,0.0,Full Time Member Weekday Rate
215004 Design Thinking,2015-02-12,Waste Removal Fee (mid size),50.0,1.0,50.0,1.0,0.0,Full Time Member Weekday Rate
215004 Design Thinking,2015-02-12,Total,,,830.0,,497.0,Full Time Member Weekday Rate
2164 Tides ,2014-12-01,On Broadway,295.0,2.0,590.0,,590.0,Non Member Weekday Rate
2164 Tides ,2014-12-01,Early Set Up Fee,75.0,1.0,75.0,1.0,0.0,Non Member Weekday Rate
2164 Tides ,2014-12-01,Set Up & Break Down,50.0,2.0,100.0,,100.0,Non Member Weekday Rate
2164 Tides ,2014-12-01,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Non Member Weekday Rate
2164 Tides ,2014-12-01,A/V Technician,40.0,3.5,140.0,,140.0,Non Member Weekday Rate
2164 Tides ,2014-12-01,Total,,,1155.0,,1080.0,Non Member Weekday Rate
2080 Libby Shaaf,2014-06-08,2301 Venue,0.0,2.0,0.0,1.0,0.0,Non Member Weekend Rate
2080 Libby Shaaf,2014-06-08,Furniture Rental,749.0,1.0,749.0,,749.0,Non Member Weekend Rate
2080 Libby Shaaf,2014-06-08,A/V Equipment Rental,140.0,1.0,140.0,,140.0,Non Member Weekend Rate
2080 Libby Shaaf,2014-06-08,A/V Technician,40.0,2.5,100.0,,100.0,Non Member Weekend Rate
2080 Libby Shaaf,2014-06-08,Fire Permit,757.0,1.0,757.0,,757.0,Non Member Weekend Rate
2080 Libby Shaaf,2014-06-08,Impact Hub Oakland Service/Staffing Fee,50.0,17.0,850.0,,850.0,Non Member Weekend Rate
2080 Libby Shaaf,2014-06-08,Total,,,,,2596.0,Non Member Weekend Rate
215009 CIIS ,2015-02-22,On Broadway,215.0,6.0,1290.0,0.25,967.5,Part Time Member Weekend Rate
215009 CIIS ,2015-02-22,Set Up & Break Down,75.0,2.0,150.0,,150.0,Part Time Member Weekend Rate
215009 CIIS ,2015-02-22,Site Manager/Staffing,35.0,8.0,280.0,,280.0,Part Time Member Weekend Rate
215009 CIIS ,2015-02-22,Standard Janitorial Fee,350.0,1.0,350.0,,350.0,Part Time Member Weekend Rate
215009 CIIS ,2015-02-22,Waste Removal Fee ,100.0,1.0,100.0,,100.0,Part Time Member Weekend Rate
215009 CIIS ,2015-02-22,Coffee Service ,15.0,2.0,30.0,,30.0,Part Time Member Weekend Rate
215009 CIIS ,2015-02-22,Total,,,2200.0,,1877.5,Part Time Member Weekend Rate
2173 EvolutionLeadership_Fedor,2014-11-08,Uptown,60.0,8.0,480.0,0.1,432.0,Full Time Member Weekend Rate -- Full Day Discount
2173 EvolutionLeadership_Fedor,2014-11-08,Total,,,480.0,,432.0,Full Time Member Weekend Rate -- Full Day Discount
2117 SELC,2014-11-18,On Broadway,180.0,2.5,450.0,,450.0,Full-time Member Rate
2117 SELC,2014-11-18,Early Set Up Fee,75.0,1.0,75.0,,0.0,Full-time Member Rate
2117 SELC,2014-11-18,Set Up & Break Down,50.0,2.0,100.0,,100.0,Full-time Member Rate
2117 SELC,2014-11-18,Large Party Janitorial Fee,500.0,1.0,500.0,,0.0,Full-time Member Rate
2117 SELC,2014-11-18,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Full-time Member Rate
2117 SELC,2014-11-18,A/V Technician,40.0,2.25,90.0,,90.0,Full-time Member Rate
2117 SELC,2014-11-18,Total,,,,,890.0,Full-time Member Rate
2066 BlackGirlsCode,6/7/14-6/8/14,Entire Space,200.0,20.0,4000.0,,4000.0,Full Time Member Weekday Rate
2066 BlackGirlsCode,6/7/14-6/8/14,Set Up & Break Down,50.0,7.0,350.0,,350.0,Full Time Member Weekday Rate
2066 BlackGirlsCode,6/7/14-6/8/14,Large Party Cleaning Fee,650.0,1.0,650.0,,650.0,Full Time Member Weekday Rate
2066 BlackGirlsCode,6/7/14-6/8/14,A/V Technician,40.0,7.0,280.0,,280.0,Full Time Member Weekday Rate
2066 BlackGirlsCode,6/7/14-6/8/14,Total,,,,,5280.0,Full Time Member Weekday Rate
215002-2 Equitable Origin,2015-02-26,On Broadway,180.0,3.0,540.0,0.2,432.0,Non Member Weekday Rate - Founders Discount
215002-2 Equitable Origin,2015-02-26,Set Up & Break Down,75.0,2.0,150.0,,150.0,Non Member Weekday Rate - Founders Discount
215002-2 Equitable Origin,2015-02-26,IHO Staffing,40.0,5.0,200.0,,200.0,Non Member Weekday Rate - Founders Discount
215002-2 Equitable Origin,2015-02-26,Standard Janitorial Fee,300.0,1.0,300.0,,300.0,Non Member Weekday Rate - Founders Discount
215002-2 Equitable Origin,2015-02-26,Waste Removal Fee ,100.0,1.0,100.0,1.0,0.0,Non Member Weekday Rate - Founders Discount
215002-2 Equitable Origin,2015-02-26,A/V Technician,40.0,5.0,200.0,,200.0,Non Member Weekday Rate - Founders Discount
215002-2 Equitable Origin,2015-02-26,Total,,,1490.0,,1282.0,Non Member Weekday Rate - Founders Discount
715004-2 PAID_BART ,2015-07-27,OMI Gallery,115.0,2.0,230.0,0.35,149.5,Non Member Weekday Rate - Founder Discount
715004-2 PAID_BART ,2015-07-27,Setup & Reset,50.0,1.0,50.0,1.0,0.0,Non Member Weekday Rate - Founder Discount
715004-2 PAID_BART ,2015-07-27,IHO Staffing,35.0,3.0,105.0,,105.0,Non Member Weekday Rate - Founder Discount
715004-2 PAID_BART ,2015-07-27,Conference Room Janitorial/Waste Removal Fee,100.0,1.0,100.0,,100.0,Non Member Weekday Rate - Founder Discount
715004-2 PAID_BART ,2015-07-27,Total,,,485.0,,354.5,Non Member Weekday Rate - Founder Discount
315004 Oak Int Film Fest,2015-03-25,OMI Gallery,115.0,2.5,287.5,,0.0,Non Member Weekday Rate -- Founders Partnership
315004 Oak Int Film Fest,2015-03-25,Set Up & Break Down,30.0,2.0,60.0,,0.0,Non Member Weekday Rate -- Founders Partnership
315004 Oak Int Film Fest,2015-03-25,Small Party Janitorial Fee,100.0,1.0,100.0,,0.0,Non Member Weekday Rate -- Founders Partnership
315004 Oak Int Film Fest,2015-03-25,Waste Removal Fee,30.0,1.0,30.0,,30.0,Non Member Weekday Rate -- Founders Partnership
315004 Oak Int Film Fest,2015-03-25,IHO Site Manager,40.0,4.5,180.0,,180.0,Non Member Weekday Rate -- Founders Partnership
315004 Oak Int Film Fest,2015-03-25,Total,,,657.5,,210.0,Non Member Weekday Rate -- Founders Partnership
715005 Paycation Launch,2011-07-18,On Broadway,210.0,3.0,630.0,0.67,207.9,Full Time Member Weekend Rate  - Founder Discount
715005 Paycation Launch,2011-07-18,Set Up & Reset,50.0,4.0,200.0,1.0,0.0,Full Time Member Weekend Rate  - Founder Discount
715005 Paycation Launch,2011-07-18,Standard Janitorial/Waste Removal Fee,250.0,1.0,250.0,1.0,0.0,Full Time Member Weekend Rate  - Founder Discount
715005 Paycation Launch,2011-07-18,Speciality A/V Sound Technician,40.0,5.0,200.0,,200.0,Full Time Member Weekend Rate  - Founder Discount
715005 Paycation Launch,2011-07-18,Total,,,1180.0,,407.9,Full Time Member Weekend Rate  - Founder Discount
315011-2 Cleantech Open,2015-04-21,On Broadway,295.0,3.0,885.0,0.8,177.0,Non Member Weekday Rate - Sponsorhsip
315011-2 Cleantech Open,2015-04-21,Set Up & Reset,75.0,2.0,150.0,,150.0,Non Member Weekday Rate - Sponsorhsip
315011-2 Cleantech Open,2015-04-21,IHO Staffing,40.0,5.0,200.0,,200.0,Non Member Weekday Rate - Sponsorhsip
315011-2 Cleantech Open,2015-04-21,Coffee Service ,12.0,2.0,24.0,,24.0,Non Member Weekday Rate - Sponsorhsip
315011-2 Cleantech Open,2015-04-21,Total,,,1259.0,,551.0,Non Member Weekday Rate - Sponsorhsip
2124 The Loop,2014-11-01,On Broadway,255.0,3.0,765.0,0.1,688.5,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,Atrium,180.0,3.0,540.0,0.1,486.0,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,Jingletown Lounge,145.0,3.0,435.0,0.1,391.5,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,OMI Gallery,115.0,3.0,345.0,0.1,310.5,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,The Courtyard,80.0,3.0,240.0,0.1,216.0,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,Set Up & Break Down,75.0,4.0,300.0,,300.0,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,Large Party Janitorial Fee,500.0,1.0,500.0,,500.0,Part Time Member Weekend Rate - multi room discount
2124 The Loop,2014-11-01,Total,,,3125.0,,2892.5,Part Time Member Weekend Rate - multi room discount
215001 CPD Gala,2015-02-05,On Broadway,225.0,2.0,450.0,,450.0,Part Time Member Weekday Rate
215001 CPD Gala,2015-02-05,Set Up & Break Down,50.0,2.0,100.0,,100.0,Part Time Member Weekday Rate
215001 CPD Gala,2015-02-05,IHO Staffing,40.0,4.0,160.0,,160.0,Part Time Member Weekday Rate
215001 CPD Gala,2015-02-05,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Part Time Member Weekday Rate
215001 CPD Gala,2015-02-05,Total,,,960.0,,960.0,Part Time Member Weekday Rate
2158 Rosenberg Foundation Event,2014-12-02,On Broadway,295.0,2.5,737.5,,737.5,None Member Weekday Rate
2158 Rosenberg Foundation Event,2014-12-02,Set Up & Break Down,50.0,2.0,100.0,,100.0,None Member Weekday Rate
2158 Rosenberg Foundation Event,2014-12-02,Standard Cleaning Fee,250.0,1.0,250.0,,250.0,None Member Weekday Rate
2158 Rosenberg Foundation Event,2014-12-02,Total,,,1087.5,,1087.5,None Member Weekday Rate
2185 YEP,2014-11-08,Atrium,225.0,2.0,450.0,0.17,373.5,Non Member Weekend Rate
2185 YEP,2014-11-08,Set Up & Break Down,75.0,2.0,150.0,1.0,0.0,Non Member Weekend Rate
2185 YEP,2014-11-08,Staffing,30.0,4.0,120.0,,120.0,Non Member Weekend Rate
2185 YEP,2014-11-08,Standard Party Janitorial Fee,250.0,1.0,250.0,1.0,0.0,Non Member Weekend Rate
2185 YEP,2014-11-08,Total,,,970.0,,493.5,Non Member Weekend Rate
2108 SexyHuman,2014-08-13,OMI Gallery,85.0,2.0,170.0,,170.0,Part Time Member Weekday Evening Rate
2108 SexyHuman,2014-08-13,Early Set Up Fee,,1.0,,,0.0,Part Time Member Weekday Evening Rate
2108 SexyHuman,2014-08-13,Set Up & Break Down,50.0,1.5,75.0,,75.0,Part Time Member Weekday Evening Rate
2108 SexyHuman,2014-08-13,Large Party Janitorial Fee,,1.0,,,0.0,Part Time Member Weekday Evening Rate
2108 SexyHuman,2014-08-13,Standard Janitorial Fee,,1.0,,,0.0,Part Time Member Weekday Evening Rate
2108 SexyHuman,2014-08-13,Total,,,245.0,,245.0,Part Time Member Weekday Evening Rate
2192 Josh Healey,2014-12-18,On Broadway,295.0,2.0,590.0,1.0,0.0,Part Ttime Member Weekday Rate
2192 Josh Healey,2014-12-18,Set Up & Break Down,40.0,2.5,100.0,,100.0,Part Ttime Member Weekday Rate
2192 Josh Healey,2014-12-18,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Part Ttime Member Weekday Rate
2192 Josh Healey,2014-12-18,A/V Technician,40.0,4.0,160.0,,160.0,Part Ttime Member Weekday Rate
2192 Josh Healey,2014-12-18,Total,,,1100.0,,510.0,Part Ttime Member Weekday Rate
2079 Cinema Club,2014-07-16,On Broadway,140.0,3.0,420.0,,420.0,Full Time Member Weekday Rate
2079 Cinema Club,2014-07-16,Set Up & Break Down,50.0,2.0,100.0,,100.0,Full Time Member Weekday Rate
2079 Cinema Club,2014-07-16,Standard Cleaning Fee,250.0,1.0,250.0,,250.0,Full Time Member Weekday Rate
2079 Cinema Club,2014-07-16,A/V Technician,40.0,2.0,80.0,,80.0,Full Time Member Weekday Rate
2079 Cinema Club,2014-07-16,Total,,,,,850.0,Full Time Member Weekday Rate
315003 EB Church of R Science,2015-03-27,On Broadway,210.0,4.0,840.0,,840.0,Full Time Member Weekend Rate - Founder Sponsorship
315003 EB Church of R Science,2015-03-27,Set Up & Reset,75.0,2.5,187.5,,187.5,Full Time Member Weekend Rate - Founder Sponsorship
315003 EB Church of R Science,2015-03-27,IHO Staffing,35.0,6.5,227.5,,227.5,Full Time Member Weekend Rate - Founder Sponsorship
315003 EB Church of R Science,2015-03-27,Large Party Janitorial & Waste Removal Fee,500.0,1.0,500.0,,500.0,Full Time Member Weekend Rate - Founder Sponsorship
315003 EB Church of R Science,2015-03-27,Total,,,1755.0,,1755.0,Full Time Member Weekend Rate - Founder Sponsorship
2128 AlamedaCountyOfficeofEdu,9/20/14-9/21/14,Meridian Room,75.0,16.0,1200.0,,1200.0,Full Time Member Weekend Rate
2128 AlamedaCountyOfficeofEdu,9/20/14-9/21/14,Set Up & Break Down,50.0,2.0,100.0,,100.0,Full Time Member Weekend Rate
2128 AlamedaCountyOfficeofEdu,9/20/14-9/21/14,Total,,,1300.0,,1300.0,Full Time Member Weekend Rate
315012-2 LaunchPad Africa,2015-05-16,On Broadway,255.0,4.0,1020.0,,1020.0,Part Time Member Weekend Rate
315012-2 LaunchPad Africa,2015-05-16,Set Up & Reset,50.0,2.5,125.0,,125.0,Part Time Member Weekend Rate
315012-2 LaunchPad Africa,2015-05-16,IHO Staffing,40.0,6.5,260.0,,260.0,Part Time Member Weekend Rate
315012-2 LaunchPad Africa,2015-05-16,Janitorial/Waste Removal Fee,250.0,1.0,250.0,,250.0,Part Time Member Weekend Rate
315012-2 LaunchPad Africa,2015-05-16,A/V Sound Technician (Set up Only),40.0,2.0,80.0,,80.0,Part Time Member Weekend Rate
315012-2 LaunchPad Africa,2015-05-16,Total,,,1735.0,,1735.0,Part Time Member Weekend Rate
2159 LIfe is Living,2014-10-10,On Broadway,295.0,3.0,885.0,0.29,628.35,None Member Weekday Rate - Partner Discount
2159 LIfe is Living,2014-10-10,Set Up & Break Down,50.0,2.5,125.0,,125.0,None Member Weekday Rate - Partner Discount
2159 LIfe is Living,2014-10-10,Standard Cleaning Fee,250.0,1.0,250.0,,250.0,None Member Weekday Rate - Partner Discount
2159 LIfe is Living,2014-10-10,Total,,,1260.0,,1003.35,None Member Weekday Rate - Partner Discount
415001 Agents of Change,2015-04-08,On Broadway,180.0,2.0,360.0,,360.0,Full Time Member Weekday Rate - Partner Discount
415001 Agents of Change,2015-04-08,Set Up & Break Down,75.0,2.0,150.0,,150.0,Full Time Member Weekday Rate - Partner Discount
415001 Agents of Change,2015-04-08,IHO Staffing,40.0,4.0,160.0,,160.0,Full Time Member Weekday Rate - Partner Discount
415001 Agents of Change,2015-04-08,Standard Janitorial Fee,300.0,1.0,300.0,,300.0,Full Time Member Weekday Rate - Partner Discount
415001 Agents of Change,2015-04-08,Waste Removal Fee ,100.0,1.0,100.0,,100.0,Full Time Member Weekday Rate - Partner Discount
415001 Agents of Change,2015-04-08,Total,,,1070.0,,1070.0,Full Time Member Weekday Rate - Partner Discount
2096 BAI -Sangha in the city,2014-06-29,On Broadway,0.0,4.0,0.0,1.0,0.0,
2096 BAI -Sangha in the city,2014-06-29,Set Up & Break Down,0.0,3.25,0.0,1.0,0.0,
2096 BAI -Sangha in the city,2014-06-29,Standard Cleaning Fee,0.0,1.0,0.0,1.0,0.0,
2096 BAI -Sangha in the city,2014-06-29,A/V Technician,40.0,6.0,240.0,,240.0,
2096 BAI -Sangha in the city,2014-06-29,Total,,,,,240.0,
2082 Libby Shaaf,2014-06-22,On Broadway,295.0,2.0,590.0,,590.0,Non Member Weekend Rate
2082 Libby Shaaf,2014-06-22,Set Up & Break Down,50.0,3.5,175.0,,175.0,Non Member Weekend Rate
2082 Libby Shaaf,2014-06-22,Standard Cleaning Fee,250.0,1.0,250.0,,250.0,Non Member Weekend Rate
2082 Libby Shaaf,2014-06-22,A/V Technician,40.0,2.0,80.0,,80.0,Non Member Weekend Rate
2082 Libby Shaaf,2014-06-22,Total,,,,,1095.0,Non Member Weekend Rate
2041 Bryant Terry,2014-04-09,On Broadway,250.0,,,,250.0,
2041 Bryant Terry,2014-04-09,Total,,,,,250.0,
115009  Warthogs Youth Rugby,2015-03-14,On Broadway,255.0,4.0,1020.0,,1020.0,Part Time Member Weekend Rate
115009  Warthogs Youth Rugby,2015-03-14,Atrium,180.0,4.0,720.0,,720.0,Part Time Member Weekend Rate
115009  Warthogs Youth Rugby,2015-03-14,Set Up & Break Down,75.0,3.5,262.5,0.2,210.0,Part Time Member Weekend Rate
115009  Warthogs Youth Rugby,2015-03-14,Site Manager,35.0,7.5,262.5,,262.5,Part Time Member Weekend Rate
115009  Warthogs Youth Rugby,2015-03-14,Large Party Janitorial Fee,500.0,1.0,500.0,,500.0,Part Time Member Weekend Rate
115009  Warthogs Youth Rugby,2015-03-14,Waste Removal Fee ,0.0,1.0,0.0,,0.0,Part Time Member Weekend Rate
115009  Warthogs Youth Rugby,2015-03-14,Total,,,2765.0,,2712.5,Part Time Member Weekend Rate
2053 Global Solutions Party,2014-05-01,On Broadway,0.0,2.0,0.0,,0.0,
2053 Global Solutions Party,2014-05-01,Set-up/Break-down ,0.0,2.0,0.0,,0.0,
2053 Global Solutions Party,2014-05-01,Standard Cleaning Fee,150.0,,,,0.0,
2053 Global Solutions Party,2014-05-01,A/V Tech Support (with setup/breakdown time),30.0,3.5,105.0,,105.0,
2053 Global Solutions Party,2014-05-01,Total,,,,,105.0,
2151 B Labs,2014-10-03,On Broadway,295.0,2.0,590.0,0.32,401.2,Non-member weekday; Discount Rate for IHO WITH event
2151 B Labs,2014-10-03,Set Up & Break Down,50.0,2.0,100.0,,100.0,Non-member weekday; Discount Rate for IHO WITH event
2151 B Labs,2014-10-03,Standard Janitorial Fee,250.0,1.0,250.0,,0.0,Non-member weekday; Discount Rate for IHO WITH event
2151 B Labs,2014-10-03,A/V Technician,40.0,2.0,80.0,,80.0,Non-member weekday; Discount Rate for IHO WITH event
2151 B Labs,2014-10-03,Total,,,770.0,,581.2,Non-member weekday; Discount Rate for IHO WITH event
2069 KQED_FilmSalon,2014-04-29,On Broadway,150.0,2.0,300.0,,300.0,
2069 KQED_FilmSalon,2014-04-29,Set Up & Break Down,50.0,2.0,100.0,,100.0,
2069 KQED_FilmSalon,2014-04-29,Standard Cleaning Fee,100.0,1.0,100.0,,100.0,
2069 KQED_FilmSalon,2014-04-29,Total,,,,,500.0,
2148 Brown Sugar Kitchen_damage,2014-09-08,Damage to Hylo Board,100.0,1.0,100.0,,100.0,
2148 Brown Sugar Kitchen_damage,2014-09-08,Total,,,,,100.0,
2085 P2R Graduation,2014-06-21,On Broadway,62.0,3.0,186.0,,186.0,Full Time Member Weekend Rate
2085 P2R Graduation,2014-06-21,Set Up & Break Down,50.0,2.5,125.0,,125.0,Full Time Member Weekend Rate
2085 P2R Graduation,2014-06-21,Standard Cleaning Fee,250.0,1.0,250.0,,250.0,Full Time Member Weekend Rate
2085 P2R Graduation,2014-06-21,A/V Technician,40.0,4.0,160.0,,160.0,Full Time Member Weekend Rate
2085 P2R Graduation,2014-06-21,Coffee Service,29.0,1.0,29.0,,29.0,Full Time Member Weekend Rate
2085 P2R Graduation,2014-06-21,Total,,,,,750.0,Full Time Member Weekend Rate
2189 BGC_volunteertraining_2,2014-12-10,Meridian Room,45.0,2.0,90.0,,90.0,Full Time Member Weekday Rate
2189 BGC_volunteertraining_2,2014-12-10,Set Up & Break Down,50.0,2.0,100.0,,100.0,Full Time Member Weekday Rate
2189 BGC_volunteertraining_2,2014-12-10,Sm. Party Janitorial Fee,100.0,1.0,100.0,,100.0,Full Time Member Weekday Rate
2189 BGC_volunteertraining_2,2014-12-10,Total,,,290.0,,290.0,Full Time Member Weekday Rate
2083 Nat Poetry Slam_cleaning,2014-08-08,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,
2083 Nat Poetry Slam_cleaning,2014-08-08,Total,,,,,250.0,
2035 Sungevity Event,2014-04-25,Gallery,85.0,5.0,425.0,,425.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,Atrium,130.0,5.0,650.0,,650.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,On Broadway,205.0,5.0,1025.0,,1025.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,Entire Mezzanine,185.0,5.0,925.0,,925.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,A/V Technician,40.0,6.0,240.0,,240.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,Set-up/Break-down ,50.0,5.0,250.0,,250.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,Large Party Cleaning Fee,500.0,,,,500.0,Org Connect Member rate
2035 Sungevity Event,2014-04-25,Total,,,,,4015.0,Org Connect Member rate
815002 Occur Award Dinner,2015-10-15,On Broadway,295.0,2.0,590.0,,590.0,Non Member Weekday Rate - Returning client discount
815002 Occur Award Dinner,2015-10-15,Set Up & Reset,75.0,2.5,187.5,0.25,140.625,Non Member Weekday Rate - Returning client discount
815002 Occur Award Dinner,2015-10-15,IHO Staffing,40.0,4.5,180.0,,180.0,Non Member Weekday Rate - Returning client discount
815002 Occur Award Dinner,2015-10-15,Janitorial/Waste Removal Fee,450.0,1.0,450.0,,450.0,Non Member Weekday Rate - Returning client discount
815002 Occur Award Dinner,2015-10-15,Speciality A/V Sound Technician,40.0,4.0,160.0,,160.0,Non Member Weekday Rate - Returning client discount
815002 Occur Award Dinner,2015-10-15,Total,,,,,1520.625,Non Member Weekday Rate - Returning client discount
615002-2 IHO Whole Person,2015-06-07,On Broadway,210.0,9.5,1995.0,0.75,498.75,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,Atrium,140.0,1.0,140.0,1.0,0.0,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,Jingletown Lounge,105.0,1.0,105.0,1.0,0.0,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,Uptown,70.0,1.0,70.0,1.0,0.0,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,Set Up & Reset,75.0,2.75,206.25,1.0,0.0,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,IHO Staffing,40.0,10.25,410.0,0.5,205.0,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,Standard Janitorial/Waste Removal Fee,200.0,1.0,200.0,0.5,100.0,Full time Member Weekend Rate - Founders Discount
615002-2 IHO Whole Person,2015-06-07,Total,,,3126.25,,803.75,Full time Member Weekend Rate - Founders Discount
