sheet,DATE,DESCRIPTION,AMOUNT,HOURS/UNITS,SUBTOTAL,DISCOUNT,TOTAL,rate
2107 Fall Wine Event,2014-10-11,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Non-Member Weekend Rate - Reoccuring event discount
2107 Fall Wine Event,2014-10-11,Total,,,1570.0,,1003.0,Non-Member Weekend Rate - Reoccuring event discount
315011 Cleantech Open,2015-04-21,On Broadway,295.0,3.0,885.0,0.8,177.0,Non Member Weekday Rate - Sponsorhsip
315011 Cleantech Open,2015-04-21,Set Up & Reset,75.0,2.0,150.0,,150.0,Non Member Weekday Rate - Sponsorhsip
315011 Cleantech Open,2015-04-21,IHO Staffing,40.0,5.0,200.0,,200.0,Non Member Weekday Rate - Sponsorhsip
315011 Cleantech Open,2015-04-21,Total,,,1235.0,,527.0,Non Member Weekday Rate - Sponsorhsip
115005-4 Friends of Parks&R ,2015-05-07,On Broadway,225.0,2.5,562.5,0.1,506.25,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Atrium,150.0,2.5,375.0,0.1,337.5,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Jingletown Lounge,115.0,2.5,287.5,0.1,258.75,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,OMI Gallery,85.0,5.0,425.0,0.1,382.5,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,East Oak,25.0,7.0,175.0,0.1,157.5,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Set Up & Break Down,75.0,4.0,300.0,,300.0,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Site Manager/Staffing,35.0,6.5,227.5,,227.5,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Large Party Janitorial Fee,500.0,1.0,500.0,,500.0,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Waste Removal Fee ,100.0,1.0,100.0,,100.0,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,A/V Technician,40.0,4.5,180.0,,180.0,Part-time Member Weekday Rate -- Multi-Room Discount
115005-4 Friends of Parks&R ,2015-05-07,Total,,,3132.5,,2950.0,Part-time Member Weekday Rate -- Multi-Room Discount
2062 John Pomeroy,2014-05-28,Omi Gallery,60.0,2.0,120.0,,120.0,Full Time Member Weekday Rate
2062 John Pomeroy,2014-05-28,Set Up & Break Down,25.0,1.5,37.5,,37.5,Full Time Member Weekday Rate
2062 John Pomeroy,2014-05-28,Standard Cleaning Fee,0.0,1.0,0.0,1.0,0.0,Full Time Member Weekday Rate
2062 John Pomeroy,2014-05-28,Total,,,,,157.5,Full Time Member Weekday Rate
515006 CODE2040,2015-05-29,On Broadway,255.0,2.5,637.5,0.1,573.75,Part Time Member Weekend Rate - Full day & Multi room discount
515006 CODE2040,2015-05-29,Set Up & Reset ,75.0,2.0,150.0,,150.0,Part Time Member Weekend Rate - Full day & Multi room discount
515006 CODE2040,2015-05-29,IHO Staffing,30.0,4.5,135.0,,135.0,Part Time Member Weekend Rate - Full day & Multi room discount
515006 CODE2040,2015-05-29,Janitorial/Waste Removal Fee ,300.0,1.0,300.0,,300.0,Part Time Member Weekend Rate - Full day & Multi room discount
515006 CODE2040,2015-05-29,Sub Total,,,1222.5,,1158.75,Part Time Member Weekend Rate - Full day & Multi room discount
415014 CJ Callen,2015-04-15,OMI Gallery,85.0,2.5,212.5,,212.5,Part Time Member Weekday Rate
415014 CJ Callen,2015-04-15,Downtown,45.0,4.0,180.0,,180.0,Part Time Member Weekday Rate
415014 CJ Callen,2015-04-15,Total,,,392.5,,392.5,Part Time Member Weekday Rate
115012-2 Habitry,2015-06-27,On Broadway,255.0,8.0,2040.0,0.25,1530.0,Part Time Member Weekend Rate -- Multi Day Discount
115012-2 Habitry,2015-06-27,Set Up & Break Down,50.0,1.0,50.0,,50.0,Part Time Member Weekend Rate -- Multi Day Discount
115012-2 Habitry,2015-06-27,Site Manager/Staffing,30.0,9.0,270.0,,270.0,Part Time Member Weekend Rate -- Multi Day Discount
115012-2 Habitry,2015-06-27,Janitorial Fee (Bathrooms Only),90.0,1.0,90.0,,90.0,Part Time Member Weekend Rate -- Multi Day Discount
115012-2 Habitry,2015-06-27,Coffee & Tea Service ($12/thermos),12.0,4.0,48.0,,48.0,Part Time Member Weekend Rate -- Multi Day Discount
115012-2 Habitry,2015-06-27,SUBTOTAL,,,2498.0,,1988.0,Part Time Member Weekend Rate -- Multi Day Discount
2054 Tessa Finlev,2014-05-06,Omi Gallery,95.0,4.0,380.0,,380.0,
2054 Tessa Finlev,2014-05-06,Set-up/Break-down ,25.0,2.0,50.0,,50.0,
2054 Tessa Finlev,2014-05-06,Total,,,,,430.0,
2090 Mandela Marketplace_Final,2014-11-06,Entire Space,375.0,4.0,1500.0,,1500.0,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,On Broadway,225.0,,,,,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,Atrium,150.0,,,,,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,Set Up & Break Down,75.0,4.0,300.0,,300.0,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,Early Closing Fee,175.0,1.0,175.0,,175.0,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,Large Party Cleaning Fee,500.0,1.0,500.0,,500.0,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,A/V Technician,40.0,6.0,240.0,,240.0,Part Time Member Weekday Rate
2090 Mandela Marketplace_Final,2014-11-06,Total,,,,,2715.0,Part Time Member Weekday Rate
2199 Redwood Day School,2015-04-25,Entire Lower Floor,540.0,5.5,2970.0,0.1,2673.0,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,On Broadway,315.0,,,,,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,Atrium,225.0,,,,,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,Jingletown Lounge,180.0,5.5,990.0,0.1,891.0,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,East Oakland,65.0,5.5,357.5,0.1,321.75,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,Set Up & Break Down,75.0,4.0,300.0,,300.0,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,Large Party Janitorial Fee,500.0,1.0,500.0,,500.0,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,A/V Technician,40.0,8.0,320.0,,320.0,Non Member Weekend Rate - Multi room discount
2199 Redwood Day School,2015-04-25,Total,,,5437.5,,5005.75,Non Member Weekend Rate - Multi room discount
512003 Facebook HR,2015-06-09,Atrium,195.0,3.0,585.0,0.15,497.25,Non  Member Weekday Rate  - Multi Room Discount
512003 Facebook HR,2015-06-09,OMI Gallery,115.0,3.0,345.0,0.15,293.25,Non  Member Weekday Rate  - Multi Room Discount
512003 Facebook HR,2015-06-09,Setup/Reset,75.0,2.0,150.0,,150.0,Non  Member Weekday Rate  - Multi Room Discount
512003 Facebook HR,2015-06-09,IHO Staffing ,40.0,5.0,200.0,,200.0,Non  Member Weekday Rate  - Multi Room Discount
512003 Facebook HR,2015-06-09,Standard Janitorial/Waste Removal Fee ,250.0,1.0,250.0,,250.0,Non  Member Weekday Rate  - Multi Room Discount
512003 Facebook HR,2015-06-09,Total,,,1530.0,,1390.5,Non  Member Weekday Rate  - Multi Room Discount
115011 Defy Ventures,2015-01-27,Jingletown Lounge,150.0,2.0,300.0,,300.0,Non Member Weekday Rate
115011 Defy Ventures,2015-01-27,Set Up & Break Down,50.0,2.5,125.0,,125.0,Non Member Weekday Rate
115011 Defy Ventures,2015-01-27,IHO Staffing,35.0,4.5,157.5,,157.5,Non Member Weekday Rate
115011 Defy Ventures,2015-01-27,Standard Janitorial Fee,300.0,1.0,300.0,,300.0,Non Member Weekday Rate
115011 Defy Ventures,2015-01-27,Waste Removal,50.0,1.0,50.0,,50.0,Non Member Weekday Rate
115011 Defy Ventures,2015-01-27,Total,,,932.5,,932.5,Non Member Weekday Rate
415001-2 Agents of Change ,2015-06-18,Cancellation Fee,50.0,1.0,50.0,,50.0,Full Time Member Weekday Rate - Partner Discount
415001-2 Agents of Change ,2015-06-18,Total,,,50.0,,50.0,Full Time Member Weekday Rate - Partner Discount
215011-2 Kaiser HNS Grad,2015-06-13,A/V Technician,40.0,3.0,120.0,,120.0,
215011-2 Kaiser HNS Grad,2015-06-13,Total,,,120.0,,120.0,
315008 Kapor Center,2015-05-02,On Broadway,210.0,10.0,2100.0,,1785.0,Full Time Member Weekend Rate -- Full day discount
315008 Kapor Center,2015-05-02,Set Up & Reset,75.0,2.0,150.0,,150.0,Full Time Member Weekend Rate -- Full day discount
315008 Kapor Center,2015-05-02,IHO Staffing,40.0,12.0,480.0,,480.0,Full Time Member Weekend Rate -- Full day discount
315008 Kapor Center,2015-05-02,Large Party Janitorial Fee,500.0,1.0,500.0,,500.0,Full Time Member Weekend Rate -- Full day discount
315008 Kapor Center,2015-05-02,Total,,,3230.0,,2915.0,Full Time Member Weekend Rate -- Full day discount
2176 ACOE_Synergy Day,2014-12-13,Jingletown Lounge,189.0,8.0,1512.0,0.15,1285.2,Non Member Weekend Rate  - Full Day Discount
2176 ACOE_Synergy Day,2014-12-13,Weekend Staffing,40.0,10.5,420.0,,420.0,Non Member Weekend Rate  - Full Day Discount
2176 ACOE_Synergy Day,2014-12-13,Janitorial Fee,250.0,1.0,250.0,,250.0,Non Member Weekend Rate  - Full Day Discount
2176 ACOE_Synergy Day,2014-12-13,Total,,,2182.0,,1955.2,Non Member Weekend Rate  - Full Day Discount
2093 BGC  Extended Use Fee,?,On Broadway,210.0,1.0,210.0,,210.0,Full Time Member Weekend Rate
2093 BGC  Extended Use Fee,?,Total,,,,,210.0,Full Time Member Weekend Rate
715011 Food Craft Institute,2015-09-17,On Broadway,295.0,3.0,885.0,,885.0,Non Member Weekday Rate
715011 Food Craft Institute,2015-09-17,Set Up & Reset,50.0,2.0,100.0,,100.0,Non Member Weekday Rate
715011 Food Craft Institute,2015-09-17,IHO Staffing,35.0,5.0,175.0,,175.0,Non Member Weekday Rate
715011 Food Craft Institute,2015-09-17,Standard Janitorial/Waste Removal Fee,250.0,1.0,250.0,,250.0,Non Member Weekday Rate
715011 Food Craft Institute,2015-09-17,Total,,,1410.0,,1410.0,Non Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Entire Space,500.0,4.0,2000.0,,2000.0,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,On Broadway,225.0,,,,,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Atrium,150.0,,,,,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Uptown,65.0,,,,,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,*Courtyard,60.0,,,,,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Set Up & Break Down,75.0,4.0,300.0,,300.0,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Early Closing Fee,175.0,1.0,175.0,,175.0,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Large Party Cleaning Fee,500.0,1.0,500.0,,500.0,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,A/V Technician,40.0,5.0,200.0,,200.0,Part Time Member Weekday Rate
2090 Mandela Marketplace,2014-11-06,Total,,,,,3175.0,Part Time Member Weekday Rate
715010 TriNet,2015-09-16,On Broadway,295.0,3.0,885.0,,885.0,Non Member Weekday Rate
715010 TriNet,2015-09-16,Set Up & Reset,50.0,2.0,100.0,,100.0,Non Member Weekday Rate
715010 TriNet,2015-09-16,IHO Staffing,35.0,5.0,175.0,,175.0,Non Member Weekday Rate
715010 TriNet,2015-09-16,Standard Janitorial/Waste Removal Fee,250.0,1.0,250.0,,250.0,Non Member Weekday Rate
715010 TriNet,2015-09-16,Speciality A/V Sound Technician,40.0,5.0,200.0,,200.0,Non Member Weekday Rate
715010 TriNet,2015-09-16,Total,,,1610.0,,1610.0,Non Member Weekday Rate
2099 World Trust,2014-10-02,Lower Level,375.0,4.5,1687.5,0.26,1248.75,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,On Broadway,225.0,,,,,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,Atrium,150.0,,,,,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,Early Set Up Fee,75.0,1.0,75.0,,75.0,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,Set Up & Break Down,50.0,3.5,175.0,,175.0,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,Large Party Cleaning Fee,300.0,1.0,300.0,,300.0,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,A/V Technician,40.0,3.0,120.0,,120.0,Part Time Member Weekday Rate -- Multi-Room Discount
2099 World Trust,2014-10-02,Total,,,,,1918.75,Part Time Member Weekday Rate -- Multi-Room Discount
115001-3 P2R Graduation,2015-03-21,On Broadway,210.0,2.5,525.0,,525.0,Full Time Member Weekend Rate
115001-3 P2R Graduation,2015-03-21,Set Up & Break Down,75.0,2.0,150.0,,150.0,Full Time Member Weekend Rate
115001-3 P2R Graduation,2015-03-21,Site Manager/Staffing,35.0,4.5,157.5,,157.5,Full Time Member Weekend Rate
115001-3 P2R Graduation,2015-03-21,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Full Time Member Weekend Rate
115001-3 P2R Graduation,2015-03-21,Compostables,66.82,1.0,66.82,,66.82,Full Time Member Weekend Rate
115001-3 P2R Graduation,2015-03-21,Total,,,1149.32,,1149.32,Full Time Member Weekend Rate
2137 Bay Bucks_Final,2014-10-24,Space Rentals,290.0,4.5,1305.0,0.3,913.5,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,On Broadway,180.0,,,,0.0,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,Atrium,110.0,,,,0.0,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,Set Up & Break Down,50.0,2.5,125.0,,125.0,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,A/V Technician,40.0,3.0,120.0,,120.0,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,Janitorial Fee,150.0,1.0,150.0,,150.0,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,Sat & Sun Cancellation Fee,50.0,1.0,50.0,,50.0,Full Time Member Rate
2137 Bay Bucks_Final,2014-10-24,Total,,,1700.0,,1358.5,Full Time Member Rate
215015 Oakland Institute,2015-04-24,On Broadway,315.0,3.0,945.0,,945.0,Non Member Weekend Rate
215015 Oakland Institute,2015-04-24,Set Up & Break Down,100.0,2.5,250.0,,250.0,Non Member Weekend Rate
215015 Oakland Institute,2015-04-24,IHO Staffing,40.0,5.5,220.0,,220.0,Non Member Weekend Rate
215015 Oakland Institute,2015-04-24,Standard Janitorial Fee,250.0,1.0,250.0,,250.0,Non Member Weekend Rate
215015 Oakland Institute,2015-04-24,Waste Removal Fee ,100.0,1.0,100.0,,100.0,Non Member Weekend Rate
215015 Oakland Institute,2015-04-24,A/V Technician,40.0,5.0,200.0,,200.0,Non Member Weekend Rate
215015 Oakland Institute,2015-04-24,Total,,,1965.0,,1965.0,Non Member Weekend Rate
2051 Vital Systems,2014-06-05,Atrium,110.0,2.5,275.0,,247.5,
2051 Vital Systems,2014-06-05,Set-up/Break-down ,30.0,2.0,60.0,,60.0,
2051 Vital Systems,2014-06-05,Standard Cleaning Fee,150.0,,,,150.0,
2051 Vital Systems,2014-06-05,Total,,,,,457.5,
215004-2 Design Thinking ,2015-02-12,OMI Gallery,60.0,2.0,120.0,0.15,102.0,Full Time Member Weekday Rate
215004-2 Design Thinking ,2015-02-12,Set Up & Break Down,75.0,1.5,112.5,,112.5,Full Time Member Weekday Rate
215004-2 Design Thinking ,2015-02-12,Standard Janitorial Fee,250.0,1.0,250.0,1.0,0.0,Full Time Member Weekday Rate
215004-2 Design Thinking ,2015-02-12,Waste Removal Fee (mid size),50.0,1.0,50.0,1.0,0.0,Full Time Member Weekday Rate
215004-2 Design Thinking ,2015-02-12,Total,,,532.5,,214.5,Full Time Member Weekday Rate
715004-2 BART,2015-07-27,OMI Gallery,115.0,2.0,230.0,0.35,149.5,Non Member Weekday Rate - Founder Discount
715004-2 BART,2015-07-27,Setup & Reset,50.0,1.0,50.0,1.0,0.0,Non Member Weekday Rate - Founder Discount
715004-2 BART,2015-07-27,IHO Staffing,35.0,3.0,105.0,,105.0,Non Member Weekday Rate - Founder Discount
715004-2 BART,2015-07-27,Conference Room Janitorial/Waste Removal Fee,100.0,1.0,100.0,,100.0,Non Member Weekday Rate - Founder Discount
715004-2 BART,2015-07-27,Total,,,485.0,,354.5,Non Member Weekday Rate - Founder Discount
2050 Bootcamp_BusinessInn_pt1,2014-05-28,On Broadway,140.0,2.5,350.0,,350.0,
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Set up / Break Down,35.0,2.0,70.0,,70.0,
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Standard Cleaning Fee,150.0,,,,,
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Large Party Cleaning Fee,300.0,,,,0.0,
2050 Bootcamp_BusinessInn_pt1,2014-05-28,A/V Technician,40.0,,,,0.0,
2050 Bootcamp_BusinessInn_pt1,2014-05-28,Total,,,,,420.0,
2037 Get Storied,5/17 & 5/18,On Broadway,205.0,16.0,3280.0,0.1,2952.0,
2037 Get Storied,5/17 & 5/18,Set-up/Break-down ,25.0,4.0,100.0,,100.0,
2037 Get Storied,5/17 & 5/18,Coffee Service - $30/day,60.0,,,,60.0,
2037 Get Storied,5/17 & 5/18,Total,,,,,3112.0,
215015-3 Oakland Institute ,2015-04-24,Compostables,15.05,,15.0,,15.0,Non Member Weekend Rate
215015-3 Oakland Institute ,2015-04-24,Total,,,15.0,,15.0,Non Member Weekend Rate
2139 Feng Shui School_Oct,"Oct.10-Oct.12, 2014",Meridian Room,45.0,14.0,630.0,0.2,504.0,Full Time Member Weekday Rate -- Multi-Day Discount
2139 Feng Shui School_Oct,"Oct. 31, 2014",Meridian Room,45.0,4.0,180.0,0.2,144.0,Full Time Member Weekday Rate -- Multi-Day Discount
2139 Feng Shui School_Oct,"Oct. 31, 2014",Total,,,810.0,,648.0,Full Time Member Weekday Rate -- Multi-Day Discount
2101 MarcusFosterEduFund,2014-08-09,On Broadway,315.0,4.0,1260.0,0.1,1134.0,Non-Member Weekend Rate
