,,,,sum,sum,sum,mean,mean,mean
,,,,HOURS_UNITS,SUBTOTAL,TOTAL,HOURS_UNITS,SUBTOTAL,TOTAL
item,day,membership,discount_type,,,,,,
BROADWAY,Half,PART-TIME,PARTNER,7.0,1695.0,0.0,3.5,847.5,0.0
BROADWAY,Half,PART-TIME,REOCURRING,3.0,765.0,306.0,3.0,765.0,306.0
DOWNTOWN,Full,FULL-TIME,?DISCOUNT?,0.0,0.0,0.0,0.0,0.0,0.0
DOWNTOWN,Full,FULL-TIME,NONE,6.0,150.0,150.0,6.0,150.0,150.0
DOWNTOWN,Full,NON-MEMBER,?DISCOUNT?,7.0,665.0,0.0,7.0,332.5,0.0
DOWNTOWN,Full,PART-TIME,?DISCOUNT?,7.0,525.0,0.0,7.0,525.0,0.0
DOWNTOWN,Full,PART-TIME,MULTIROOM,7.0,315.0,283.5,7.0,315.0,283.5
DOWNTOWN,Half,?MEMBER?,NONE,8.0,200.0,200.0,4.0,100.0,100.0
DOWNTOWN,Half,FULL-TIME,NONE,5.0,275.0,275.0,5.0,275.0,275.0
DOWNTOWN,Half,NON-MEMBER,RETURNING,2.0,190.0,0.0,2.0,190.0,0.0
DOWNTOWN,Half,PART-TIME,?DISCOUNT?,4.0,180.0,0.0,4.0,180.0,0.0
DOWNTOWN,Half,PART-TIME,NONE,19.0,855.0,855.0,3.1666666666666665,142.5,142.5
EAST_OAK,Full,NON-MEMBER,MULTIROOM,28.0,1475.0,1314.125,5.6,295.0,262.825
EAST_OAK,Full,NON-MEMBER,NONE,5.5,302.5,302.5,5.5,302.5,302.5
EAST_OAK,Full,NON-MEMBER,RETURNING,5.5,357.5,268.125,5.5,357.5,268.125
EAST_OAK,Full,PART-TIME,?DISCOUNT?,8.0,440.0,330.0,8.0,440.0,330.0
EAST_OAK,Full,PART-TIME,MULTIROOM,14.0,350.0,315.0,7.0,175.0,157.5
EAST_OAK,Half,FULL-TIME,?DISCOUNT?,3.0,135.0,0.0,3.0,135.0,0.0
EAST_OAK,Half,FULL-TIME,NONE,1.0,35.0,35.0,1.0,35.0,35.0
EAST_OAK,Half,NON-MEMBER,NONE,8.5,297.5,297.5,4.25,148.75,148.75
JINGLETOWN,Full,?MEMBER?,?DISCOUNT?,0.0,0.0,0.0,0.0,0.0,0.0
JINGLETOWN,Full,?MEMBER?,NONE,6.0,690.0,690.0,6.0,690.0,690.0
JINGLETOWN,Full,FULL-TIME,FOUNDER,6.0,630.0,0.0,6.0,630.0,0.0
JINGLETOWN,Full,NON-MEMBER,?DISCOUNT?,16.0,3024.0,2570.4,8.0,1512.0,1285.2
JINGLETOWN,Full,NON-MEMBER,MULTIROOM,5.5,990.0,891.0,5.5,990.0,891.0
JINGLETOWN,Half,?MEMBER?,NONE,5.0,925.0,925.0,5.0,925.0,925.0
JINGLETOWN,Half,FULL-TIME,?DISCOUNT?,3.0,315.0,267.75,3.0,315.0,267.75
JINGLETOWN,Half,FULL-TIME,FOUNDER,1.0,105.0,0.0,1.0,105.0,0.0
JINGLETOWN,Half,NON-MEMBER,MULTIROOM,13.0,2220.0,1936.5,4.333333333333333,740.0,645.5
JINGLETOWN,Half,NON-MEMBER,NONE,2.0,300.0,300.0,2.0,300.0,300.0
JINGLETOWN,Half,NON-MEMBER,PARTNER,2.0,300.0,225.0,2.0,300.0,225.0
JINGLETOWN,Half,PART-TIME,MULTIROOM,16.0,2020.0,1644.0,2.6666666666666665,336.6666666666667,274.0
JINGLETOWN,Half,PART-TIME,NONE,5.5,632.5,632.5,2.75,316.25,316.25
MEDITATION,Half,NON-MEMBER,NONE,5.0,75.0,75.0,5.0,75.0,75.0
MERIDIAN,Full,FULL-TIME,MULTIDAY,130.0,5885.0,4708.0,14.444444444444445,653.8888888888889,523.1111111111111
MERIDIAN,Full,FULL-TIME,NONE,16.0,1200.0,1200.0,16.0,1200.0,1200.0
MERIDIAN,Half,?MEMBER?,?DISCOUNT?,4.0,0.0,0.0,4.0,0.0,0.0
MERIDIAN,Half,FULL-TIME,?DISCOUNT?,3.0,0.0,0.0,3.0,0.0,0.0
MERIDIAN,Half,FULL-TIME,MULTIDAY,4.0,180.0,144.0,4.0,180.0,144.0
MERIDIAN,Half,FULL-TIME,NONE,40.0,1800.0,1800.0,2.6666666666666665,120.0,120.0
MERIDIAN,Half,NON-MEMBER,?DISCOUNT?,3.0,375.0,337.5,3.0,375.0,337.5
MERIDIAN,Half,NON-MEMBER,NONE,9.5,1052.5,1052.5,3.1666666666666665,350.8333333333333,350.8333333333333
OMI,Full,?MEMBER?,?DISCOUNT?,7.5,637.5,573.75,7.5,212.5,191.25
OMI,Full,?MEMBER?,NONE,6.0,510.0,510.0,6.0,510.0,510.0
OMI,Full,?MEMBER?,PARTNER,0.0,0.0,0.0,0.0,0.0,0.0
OMI,Full,FULL-TIME,NONE,6.5,390.0,390.0,6.5,390.0,390.0
OMI,Full,PART-TIME,?DISCOUNT?,0.0,0.0,0.0,0.0,0.0,0.0
OMI,Half,?MEMBER?,MULTIROOM,3.0,345.0,293.25,3.0,345.0,293.25
OMI,Half,?MEMBER?,NONE,20.5,1582.5,1582.5,4.1,316.5,316.5
OMI,Half,FULL-TIME,?DISCOUNT?,2.0,120.0,102.0,2.0,120.0,102.0
OMI,Half,FULL-TIME,FOUNDER,4.0,360.0,0.0,4.0,360.0,0.0
OMI,Half,FULL-TIME,MULTIROOM,6.0,360.0,306.0,3.0,180.0,153.0
OMI,Half,FULL-TIME,NONE,47.5,2955.0,2955.0,2.638888888888889,164.16666666666666,164.16666666666666
OMI,Half,FULL-TIME,PARTNER,2.0,120.0,120.0,2.0,120.0,120.0
OMI,Half,NON-MEMBER,?DISCOUNT?,5.0,665.0,506.5,2.5,332.5,253.25
OMI,Half,NON-MEMBER,FOUNDER,19.5,1967.5,599.0,3.25,327.9166666666667,99.83333333333333
OMI,Half,NON-MEMBER,NONE,9.0,1185.0,1185.0,2.25,296.25,296.25
OMI,Half,NON-MEMBER,PARTNER,5.5,650.0,210.0,2.75,325.0,105.0
OMI,Half,NON-MEMBER,REOCURRING,3.0,345.0,138.0,3.0,345.0,138.0
OMI,Half,PART-TIME,FOUNDER,4.0,360.0,360.0,4.0,360.0,360.0
OMI,Half,PART-TIME,MULTIROOM,18.5,1662.5,1496.25,3.7,332.5,299.25
OMI,Half,PART-TIME,NONE,12.0,1095.0,922.5,2.4,219.0,184.5
OMI,Half,PART-TIME,REOCURRING,3.0,255.0,102.0,3.0,255.0,102.0
UPTOWN,Full,FULL-TIME,?DISCOUNT?,14.5,935.0,796.0,7.25,467.5,398.0
UPTOWN,Half,FULL-TIME,?DISCOUNT?,7.0,540.0,477.0,3.5,270.0,238.5
UPTOWN,Half,FULL-TIME,FOUNDER,1.0,70.0,0.0,1.0,70.0,0.0
UPTOWN,Half,FULL-TIME,NONE,6.0,240.0,720.0,3.0,120.0,360.0
UPTOWN,Half,NON-MEMBER,NONE,3.0,345.0,345.0,3.0,345.0,345.0
UPTOWN,Half,NON-MEMBER,PARTNER,2.0,170.0,127.5,2.0,170.0,127.5
UPTOWN,Half,NON-MEMBER,REOCURRING,5.0,575.0,546.25,5.0,575.0,546.25
UPTOWN,Half,PART-TIME,NONE,6.5,422.5,422.5,3.25,211.25,211.25
WEST_OAK,Full,NON-MEMBER,MULTIROOM,11.5,402.5,0.0,5.75,201.25,0.0
